Gene	Cyt Andreyev	Nucl Andreyev	Microsomes Andreyev	PM Andreyev	ER Andreyev	Mito Andreyev
AAAS	4	42	14	28	84	26
AACS	58	6	16	42	76	1
AARS	140	34	24	1	1	1
AARS2	1	30	1	32	62	76
AARSD1	98	32	70	1	1	1
ABCA3	1	1	4	126	70	1
ABCB7	1	24	1	1	68	108
ABCB8	1	42	1	1	66	92
ABCC1	1	1	14	150	32	4
ABCD1	8	1	52	54	76	8
ABCD2	1	1	1	94	82	24
ABCD3	1	1	66	48	78	8
ABCD4	1	1	6	110	78	4
ABCE1	40	4	102	50	4	1
ABCF1	32	26	116	24	1	1
ABCF2	10	6	58	38	74	16
ABCF3	138	62	1	1	1	1
ABHD11	1	60	1	1	60	80
ABHD12	1	26	1	72	84	16
ABHD6	30	70	1	18	52	30
ABI1	1	1	60	122	16	1
ABR	80	42	4	42	32	1
ACAA2	1	12	1	12	68	104
ACACA	128	24	48	1	1	1
ACAD10	1	6	1	1	90	104
ACAD11	1	1	56	60	80	4
ACAD8	1	16	1	1	88	94
ACAD9	1	44	1	1	32	122
ACADL	1	26	1	6	46	120
ACADM	1	12	1	1	70	112
ACADS	1	18	4	4	30	144
ACADSB	1	20	1	14	82	80
ACADVL	1	78	1	4	26	92
ACAT1	1	32	1	4	24	138
ACAT2	156	26	18	1	1	1
ACIN1	24	150	20	4	1	4
ACLY	108	18	70	4	1	1
ACO2	1	22	1	4	56	118
ACOT13	1	40	1	14	10	136
ACOT2	1	50	1	4	28	116
ACOT7	150	22	12	1	4	10
ACOT8	1	1	58	48	84	8
ACOT9	1	30	1	12	40	118
ACOX1	1	1	40	74	68	16
ACOX3	1	1	26	46	120	8
ACP1	136	46	18	1	1	1
ACP6	1	20	1	1	80	100
ACSL1	1	44	30	22	58	44
ACSL3	1	6	38	82	54	18
ACSL4	4	34	12	54	40	58
ACSL5	1	44	18	42	66	30
ACTB	94	16	16	52	20	1
ACTC1	164	18	18	1	1	1
ACTG1	110	22	8	36	20	1
ACTL6A	18	128	8	1	30	18
ACTN1	104	28	4	44	18	1
ACTN4	114	8	24	36	18	1
ACTR1A	120	32	24	20	1	1
ACTR1B	156	24	14	8	1	1
ACTR2	10	6	22	76	82	4
ACTR3	34	4	74	32	44	10
ADA	122	6	74	1	1	1
ADAR	16	16	64	10	86	8
ADCK1	1	1	1	1	104	96
ADCK4	1	8	1	1	100	92
ADCY7	1	1	48	132	14	6
ADH5	166	28	4	1	1	1
ADNP	28	164	1	1	1	8
ADPGK	10	20	20	58	68	24
ADRBK1	70	38	42	50	1	1
ADRM1	72	52	76	1	1	1
ADSL	138	48	4	10	1	1
ADSS	116	76	8	1	1	1
ADSSL1	106	12	36	40	4	1
AEN	40	132	1	1	1	28
AFG3L2	1	26	1	4	42	128
AGA	1	1	6	88	104	4
AGK	1	30	1	1	106	66
AGPAT5	1	26	1	1	54	118
AGPS	1	1	38	60	94	6
AHCYL1	42	42	14	98	4	1
AHNAK	22	12	26	96	38	4
AHNAK2	46	140	6	10	1	1
AHSA1	144	18	30	1	4	4
AIFM1	1	20	1	4	36	140
AIMP2	142	20	30	4	1	1
AIP	118	18	64	1	1	1
AK2	1	50	1	18	42	88
AK3	1	62	1	6	40	92
AKAP13	90	1	52	58	1	1
AKAP8	78	70	46	1	1	6
AKR1A1	136	28	32	1	1	4
AKT1	120	28	54	1	1	1
ALCAM	1	1	26	130	40	4
ALDH16A1	94	14	66	10	8	6
ALDH18A1	1	18	1	6	46	128
ALDH1L2	1	60	1	4	22	116
ALDH2	1	16	1	4	26	152
ALDH3A2	4	46	24	44	56	26
ALDH3B1	1	1	18	96	70	16
ALDH4A1	1	8	1	1	34	156
ALDH5A1	1	1	1	1	62	138
ALDH6A1	1	26	1	1	52	122
ALDH9A1	76	24	6	1	12	78
ALDOA	140	8	24	18	8	1
ALDOC	134	22	42	1	1	1
ALG5	1	56	10	20	90	24
ALKBH5	26	90	84	1	1	1
ALOX5	112	50	40	1	1	1
AMACR	1	1	1	44	134	22
AMDHD2	168	22	10	1	1	1
ANGPTL7	50	4	80	50	12	4
ANKFY1	30	18	32	98	20	1
ANKMY2	124	76	1	1	1	1
ANKRD17	24	26	42	34	72	1
ANO10	1	54	1	42	62	42
ANO6	1	1	1	116	74	6
ANP32A	164	16	20	1	1	1
ANP32B	138	30	12	6	12	1
ANP32E	86	78	12	14	6	4
ANXA1	152	18	12	1	12	4
ANXA2	46	6	12	94	38	4
ANXA3	140	14	46	1	1	1
ANXA4	144	36	10	8	1	1
ANXA5	116	6	4	6	58	12
ANXA6	104	38	16	28	12	1
ANXA7	168	12	20	1	1	1
AP1B1	68	24	50	40	18	1
AP1G1	26	1	48	66	52	4
AP1M1	44	10	40	34	62	12
AP1S1	8	1	8	50	108	24
AP2A1	4	1	16	130	36	12
AP2A2	18	1	60	74	48	1
AP2B1	6	4	32	134	22	1
AP2M1	4	1	10	130	56	1
AP3D1	102	10	28	60	1	1
AP3M1	40	4	68	70	14	1
APBB1IP	80	14	22	68	16	1
APEX1	76	20	80	8	12	6
API5	52	44	74	12	12	6
APOA1BP	28	28	12	1	64	66
APOBEC1	8	8	68	70	44	1
APOBR	100	36	36	22	4	1
APOOL	1	36	1	1	56	108
APP	1	1	14	74	68	44
APRT	152	38	4	4	1	1
AQR	34	106	56	1	1	1
ARAF	70	26	32	34	38	1
ARCN1	26	4	120	36	12	1
ARF1	104	18	34	18	18	8
ARF5	108	54	38	1	1	1
ARF6	36	20	6	88	24	26
ARHGAP1	116	28	56	1	1	1
ARHGAP17	20	8	28	14	116	14
ARHGDIA	176	8	6	4	4	1
ARHGDIB	170	18	10	1	1	1
ARHGEF1	98	1	102	1	1	1
ARHGEF2	32	1	80	56	26	4
ARHGEF7	56	1	66	76	1	1
ARID1A	4	124	14	4	1	54
ARIH2	130	70	1	1	1	1
ARL6IP5	10	24	86	60	20	1
ARL8B	4	4	24	62	72	36
ARMC10	1	52	1	1	72	76
ARPC1B	24	12	52	58	42	10
ARPC2	26	6	56	32	64	18
ARPC3	18	4	56	32	68	24
ARPC4	46	8	66	24	46	12
ARPC5	56	20	40	36	30	16
ARRB1	128	1	72	1	1	1
ARRB2	54	82	34	28	1	1
ARSB	1	1	6	70	96	28
AS3MT	88	24	88	1	1	1
ASAH1	1	1	4	80	90	24
ASNA1	114	60	14	6	1	6
ASNS	134	6	34	18	6	1
ASPH	1	20	22	48	76	32
ASRGL1	116	42	42	1	1	1
ATAD1	1	78	1	1	26	92
ATAD3A	1	32	1	4	42	120
ATG3	146	32	24	1	1	1
ATG7	150	38	12	1	1	1
ATP11B	1	42	1	18	32	108
ATP11C	1	1	1	148	52	1
ATP13A1	1	18	54	46	42	38
ATP1A1	1	1	8	144	40	4
ATP1A3	1	1	4	144	52	1
ATP1B3	4	6	14	136	36	1
ATP2A2	1	18	14	64	82	22
ATP2B1	1	1	14	164	22	1
ATP2B4	1	1	20	148	28	4
ATP5A1	1	20	1	8	28	142
ATP5B	1	14	1	6	28	152
ATP5C1	1	42	1	6	24	128
ATP5D	1	20	4	32	44	100
ATP5E	1	44	1	44	16	94
ATP5F1	1	18	1	8	30	144
ATP5H	1	34	1	6	28	130
ATP5J	1	50	1	1	30	120
ATP5J2	1	24	1	1	30	144
ATP5O	1	34	1	1	24	140
ATP6AP2	4	42	44	50	52	8
ATP6V0A1	1	1	12	102	78	6
ATP6V0D1	1	12	8	118	54	8
ATP6V1A	72	8	18	50	42	10
ATP6V1B2	58	18	16	64	28	16
ATP6V1C1	68	1	28	72	28	1
ATP6V1D	16	10	4	90	60	22
ATP6V1E1	48	6	12	56	62	16
ATP6V1F	30	16	24	78	34	18
ATP6V1H	24	4	24	124	22	4
ATP9B	1	1	16	110	74	1
ATRN	1	1	16	110	72	1
ATRX	18	144	12	1	1	26
ATXN2	18	1	136	46	1	1
ATXN2L	42	1	120	28	12	1
AUP1	1	12	38	62	72	12
B4GALNT1	1	16	22	78	56	26
BAG2	54	60	38	28	18	4
BAG6	152	42	6	1	1	1
BAK1	1	46	1	1	22	132
BANF1	1	54	36	12	86	10
BASP1	14	1	38	126	22	1
BAX	84	38	14	6	22	38
BAZ1A	36	148	1	1	1	16
BAZ1B	16	166	4	1	1	16
BCAP29	1	32	28	48	64	28
BCAP31	1	26	14	72	74	12
BCAS2	30	130	22	14	1	4
BCAT1	154	8	38	1	1	1
BCAT2	1	32	1	6	34	128
BCKDHA	1	70	1	14	14	102
BCKDHB	1	22	1	8	66	104
BCL2L13	1	52	1	4	26	114
BCL7B	46	134	1	1	1	20
BCLAF1	44	74	66	14	1	1
BDH1	1	1	1	10	54	134
BIN1	114	32	54	1	1	1
BLVRA	160	24	14	1	1	1
BLVRB	146	16	36	1	1	1
BMS1	22	142	16	8	10	1
BOLA1	74	38	1	1	16	72
BOP1	24	122	28	4	1	20
BPHL	1	20	1	1	94	84
BPNT1	164	24	12	1	1	1
BRD2	76	68	1	1	1	56
BRD3	32	132	1	1	1	36
BRD4	48	140	1	1	1	12
BRI3BP	1	50	8	56	42	44
BSG	1	1	6	162	30	1
BST2	1	1	16	130	54	1
BTAF1	50	120	30	1	1	1
BTF3	108	36	50	6	1	1
BTK	34	42	48	68	8	1
BUB3	8	112	34	16	22	8
BYSL	24	158	10	1	1	6
BZW2	104	10	22	64	1	1
C1QBP	4	8	1	4	44	140
CA13	184	16	1	1	1	1
CA2	126	56	18	1	1	1
CA5B	1	80	1	1	24	96
CACYBP	122	34	38	6	1	1
CAD	130	22	36	6	4	4
CADM1	1	1	18	82	86	14
CALR	32	12	20	58	64	14
CALU	1	1	56	80	64	1
CAMK1	168	32	1	1	1	1
CAMK2D	46	10	66	78	1	1
CAND1	128	32	36	1	1	1
CANX	1	14	18	58	92	18
CAP1	160	12	10	8	10	1
CAPG	142	26	6	10	6	10
CAPN2	154	1	32	6	8	1
CAPRIN1	28	1	110	38	18	1
CAPZA1	84	40	32	32	12	1
CAPZA2	62	52	30	26	30	1
CAPZB	64	4	52	64	16	1
CARM1	144	24	32	1	1	1
CARS	142	26	30	1	1	1
CARS2	1	50	1	1	80	68
CASP1	132	50	6	1	8	4
CASP3	174	8	18	1	1	1
CAST	88	26	60	26	1	1
CAT	1	1	24	74	98	1
CBL	104	36	60	1	1	1
CBR4	1	40	1	1	80	78
CCAR1	8	178	8	1	1	6
CCBL2	1	10	1	1	78	112
CCDC109B	1	44	1	10	58	88
CCDC115	8	8	16	42	84	46
CCDC22	18	6	62	82	30	1
CCDC47	1	4	22	74	88	14
CCDC88B	78	38	48	1	1	36
CCDC93	6	1	72	116	6	1
CCS	32	10	32	52	72	1
CCT2	88	22	44	34	6	6
CCT3	110	14	48	18	10	1
CCT4	118	32	32	10	4	1
CCT5	132	24	32	10	1	1
CCT6A	92	28	34	40	4	4
CCT6B	100	34	50	16	1	1
CCT7	120	28	34	8	8	1
CCT8	126	12	46	8	4	1
CD14	1	1	4	118	66	12
CD180	1	1	10	86	88	16
CD2AP	80	42	78	1	1	1
CD36	1	6	4	80	90	20
CD40	1	1	4	92	88	16
CD44	1	6	1	98	76	16
CD47	1	1	6	180	12	1
CD68	28	1	34	86	48	4
CD72	1	1	10	130	54	4
CDC16	60	78	62	1	1	1
CDC23	104	88	6	1	1	1
CDC37	116	78	8	1	1	1
CDC42	92	20	8	42	14	22
CDC5L	6	96	58	34	1	8
CDC73	62	132	1	1	1	6
CDK3	126	14	58	1	1	1
CDK4	92	44	64	1	1	1
CDK5RAP1	1	58	1	1	60	82
CDK5RAP3	6	48	22	48	54	24
CDK6	138	62	1	1	1	1
CEBPB	6	164	1	1	1	26
CEBPZ	22	74	100	1	1	1
CENPV	14	164	1	1	1	20
CEP170	72	12	104	12	1	1
CEPT1	1	14	14	48	104	20
CHAF1B	114	86	1	1	1	1
CHCHD3	1	64	1	1	8	126
CHCHD6	1	28	1	1	70	102
CHD4	4	110	1	1	60	20
CHD8	46	148	1	1	1	6
CHERP	14	96	44	40	1	6
CHMP4B	114	10	76	1	1	1
CIAPIN1	150	34	8	6	1	1
CIRH1A	18	82	1	1	84	14
CISD1	1	60	1	1	50	92
CKAP4	1	12	30	54	78	26
CKAP5	24	1	120	30	18	4
CKB	142	36	6	4	1	12
CLASP1	84	1	116	1	1	1
CLASP2	44	1	116	40	1	1
CLCC1	1	1	4	68	120	6
CLCN3	1	1	42	76	72	10
CLEC4E	1	10	14	96	60	16
CLIC1	154	38	8	1	1	1
CLIC4	124	14	20	22	18	1
CLINT1	20	8	148	16	10	1
CLIP1	128	36	36	1	1	1
CLPB	1	46	1	1	54	98
CLPP	1	36	1	4	48	110
CLPTM1	1	22	8	52	106	12
CLPX	1	68	1	1	14	116
CLTA	60	30	90	20	1	1
CLTB	90	4	80	24	1	1
CLTC	60	8	106	20	6	1
CLYBL	1	74	1	1	62	64
CMAS	8	92	1	1	74	28
CMPK2	148	36	16	1	1	1
CNBP	158	16	26	1	1	1
CNDP2	144	40	14	1	1	1
CNOT1	34	1	114	40	12	1
CNOT10	1	1	108	92	1	1
COL4A3BP	126	40	34	1	1	1
COLEC12	1	1	46	122	30	1
COLGALT1	4	6	22	48	102	18
COMMD10	78	1	100	22	1	1
COMT	4	6	26	50	64	52
COMTD1	1	34	6	4	60	94
COPA	30	6	132	26	6	1
COPB1	30	4	128	28	8	1
COPB2	28	10	98	56	8	1
COPE	20	16	76	22	54	12
COPG1	6	4	84	100	6	1
COPG2	38	1	108	54	1	1
COPS3	112	82	6	1	1	1
COPS4	112	54	26	8	1	1
COPS7A	114	42	24	20	1	1
COPS8	154	16	28	1	1	1
COPZ1	66	12	116	8	1	1
COQ3	1	36	1	1	78	86
COQ4	1	30	1	1	64	104
COQ9	1	26	1	1	46	128
CORO1A	20	1	20	112	42	1
CORO1B	4	1	56	122	14	1
CORO1C	16	4	56	90	32	1
CORO7	170	1	30	1	1	1
COTL1	142	18	18	18	4	1
COX15	1	84	1	1	60	58
COX4I1	1	14	1	4	24	156
COX5A	1	34	1	1	32	132
COX6A1	1	30	1	4	68	98
CPNE1	100	16	84	1	1	1
CPNE3	138	38	24	1	1	1
CPOX	1	12	1	4	32	150
CPSF1	12	148	22	1	1	16
CPSF3	38	152	1	1	1	8
CPSF6	76	30	78	6	6	1
CPT2	1	38	1	1	44	118
CREB1	1	152	6	8	1	34
CREBBP	18	98	84	1	1	1
CRELD2	46	1	30	64	60	1
CRLF3	144	34	22	1	1	1
CRYL1	110	38	52	1	1	1
CS	1	16	1	8	34	140
CSDE1	106	34	46	10	4	1
CSE1L	136	14	52	1	1	1
CSF1R	14	1	20	70	82	10
CSK	72	20	38	64	6	1
CSNK2A1	56	58	60	26	1	1
CSNK2A2	120	42	8	12	18	1
CSNK2B	84	18	96	1	1	1
CST3	26	1	54	66	40	14
CSTB	122	22	50	1	4	4
CSTF1	44	128	4	1	1	22
CSTF2	48	126	4	4	1	20
CSTF3	30	168	1	1	1	1
CTBP2	82	40	80	1	1	1
CTCF	20	136	1	1	1	44
CTDP1	114	78	6	1	1	4
CTNNBL1	96	100	1	1	1	1
CTNND1	60	1	86	42	14	1
CTPS1	106	56	38	1	1	1
CTSA	1	4	6	130	60	1
CTSB	12	8	16	90	64	10
CTSC	1	28	18	106	28	20
CTSD	1	14	8	112	44	22
CTSL	76	8	44	38	28	6
CTSS	4	14	10	76	74	24
CTSZ	1	14	4	112	52	16
CUL1	60	60	64	18	1	1
CUL2	98	20	84	1	1	1
CUL3	74	50	60	16	1	1
CUL4A	64	92	14	1	18	12
CUL4B	58	18	60	64	1	1
CUX1	8	128	20	24	1	22
CWC27	100	1	100	1	1	1
CWF19L1	48	68	84	1	1	1
CYB5A	4	24	34	60	62	18
CYB5B	1	68	8	22	36	64
CYB5R1	1	28	14	14	64	78
CYB5R3	1	28	8	14	86	60
CYBA	1	1	1	34	150	14
CYBB	1	1	4	148	44	1
CYC1	1	56	1	6	16	122
CYFIP1	14	8	40	78	54	6
CYP20A1	1	10	26	72	78	14
CYP27A1	1	32	1	1	110	58
CYP51A1	1	64	10	16	34	78
DAB2	72	1	26	68	32	1
DAK	116	78	6	1	1	1
DAP3	1	32	1	4	38	126
DARS	128	16	48	6	1	1
DARS2	1	32	1	32	16	120
DAXX	32	106	8	1	1	54
DBNL	98	56	6	30	8	1
DBT	1	54	1	4	12	130
DCAKD	1	88	1	12	46	56
DCPS	122	66	12	1	1	1
DCTN1	134	28	26	10	1	1
DCTN2	150	10	32	6	1	1
DCUN1D1	142	22	18	20	1	1
DCXR	156	20	24	1	1	1
DDB1	68	104	18	1	1	10
DDI2	142	28	30	1	1	1
DDOST	1	18	6	30	112	30
DDT	192	4	4	1	1	1
DDX1	32	30	68	26	32	12
DDX10	22	160	1	1	1	18
DDX17	12	116	36	18	1	16
DDX18	14	146	10	8	1	22
DDX19A	56	20	54	46	18	6
DDX21	8	146	20	8	10	6
DDX23	30	162	6	1	1	1
DDX24	10	162	10	4	4	12
DDX27	14	134	14	8	20	12
DDX28	1	60	1	1	48	92
DDX39A	70	66	58	4	1	1
DDX3X	12	18	46	12	86	26
DDX3Y	1	4	50	58	62	22
DDX41	22	84	94	1	1	1
DDX42	46	98	42	6	1	6
DDX47	8	136	30	6	1	20
DDX49	1	98	46	48	1	6
DDX5	12	136	22	4	16	10
DDX50	6	180	1	1	1	16
DDX51	30	106	54	6	1	4
DDX52	12	72	16	84	1	16
DDX56	14	114	34	28	1	8
DDX6	22	1	64	20	82	10
DEGS1	1	32	16	30	94	24
DEK	16	20	108	8	40	6
DENR	112	1	60	28	1	1
DERA	78	32	58	28	4	1
DERL1	1	8	24	50	86	30
DFFA	1	12	8	66	108	6
DHCR7	4	54	12	40	60	30
DHDH	172	16	12	1	1	1
DHODH	1	36	1	1	46	118
DHRS1	1	36	34	72	28	28
DHRS13	1	1	1	52	106	42
DHRS4	1	24	22	30	54	70
DHRSX	1	50	10	24	82	34
DHX15	72	76	38	6	1	8
DHX16	40	110	50	1	1	1
DHX29	42	1	110	26	18	4
DHX30	26	36	12	8	40	80
DHX36	6	30	78	64	20	1
DHX37	34	116	26	12	1	12
DHX38	96	104	1	1	1	1
DHX58	32	1	86	70	10	1
DHX9	1	98	98	1	1	1
DIDO1	6	78	1	24	72	18
DIMT1	24	170	1	1	1	4
DIP2B	1	1	22	120	54	4
DIS3	54	54	72	18	1	1
DKC1	16	134	26	10	6	8
DLAT	1	46	1	8	22	124
DLD	1	10	6	8	46	130
DLST	1	12	1	6	38	142
DNAJA1	18	28	34	96	10	16
DNAJA2	66	60	32	20	12	8
DNAJA3	1	44	1	1	36	120
DNAJB1	44	14	86	56	1	1
