GENE	Bileck cyt	Bileck Nucl
ZPR1	97	3
TBCD	100	1
TUBB3	100	1
TXNL1	97	3
UBR2	100	1
TTC27	100	1
TTC1	100	1
RPE	100	1
UCHL3	100	1
UBE2O	100	1
TUBA4A	90	10
TSTA3	100	1
VCP	79	21
USP5	99	1
SFN	49	51
YKT6	100	1
TTC4	100	1
SHMT1	97	3
UBE2N	96	4
TMSB10	100	1
UBA1	100	1
UBE2Z	100	1
TPM1	49	51
STK24	55	45
AIF1	50	50
BAG2	50	50
CDC42BPB	50	50
CFL1	50	50
CLTA	50	50
EXOSC2	50	50
FARSA	50	50
KPTN	50	50
LRRC16A	50	50
METAP1	50	50
RALGAPA2	50	50
RPS10	50	50
RPS12	50	50
SPTBN2	50	50
SRP14	50	50
TNIK	50	50
ZFPL1	50	50
AGO1	45	55
CACNB3	45	55
CCAR2	45	55
CHPF2	45	55
COX6B1	45	55
DSG1	45	55
FAM21C	45	55
FEN1	45	55
GSK3B	45	55
MDN1	45	55
NDUFS5	45	55
OAS3	45	55
OSTC	45	55
RPL13	45	55
RPL3	45	55
RPL35A	45	55
RPS28	45	55
SBDS	45	55
SRP9	45	55
TOR4A	45	55
TSPYL1	45	55
WDFY4	45	55
ABCF1	44	56
CHD7	44	56
COMMD7	44	56
DYNC1H1	44	56
HECA	44	56
INTS7	44	56
KXD1	44	56
LSM12	44	56
MIER1	44	56
NCCRP1	44	56
NDUFAF2	44	56
NDUFB9	44	56
NPR1	44	56
ORAI1	44	56
PARP16	44	56
RPL22	44	56
RPL31	44	56
RPL4	44	56
RPS11	44	56
RPS5	44	56
SAMD9	44	56
SCYL2	44	56
TMC6	44	56
TUBGCP2	44	56
ACTA2	35	65
ARPC1A	35	65
CEPT1	35	65
CHCHD7	35	65
GNLY	35	65
GSDMA	35	65
LOR	35	65
NKIRAS2	35	65
NUFIP2	35	65
PHB	35	65
RPL14	35	65
RPL26	35	65
RPL27A	35	65
RPL36	35	65
RPL39P5	35	65
RPS9	35	65
SARG	35	65
SRPRB	35	65
SSR3	35	65
TGM3	35	65
ZC3H15	76	24
ACTB	41	59
CAMK2D	41	59
CCDC109B	41	59
CFI	41	59
CORO7	41	59
DBF4B	41	59
DDX6	41	59
DNAJC17	41	59
FAM114A1	41	59
FKBP11	41	59
GLIPR1	41	59
MFF	41	59
PATL1	41	59
RPLP2	41	59
RPS4X	41	59
RPS6	41	59
SETX	41	59
SGPL1	41	59
SRP72	41	59
TFCP2	41	59
TIMM9	41	59
TMEM189	41	59
WDR61	41	59
ABCC1	40	60
CHD1	40	60
COQ10B	40	60
ERLIN1	40	60
GNG2	40	60
NOSIP	40	60
OAS2	40	60
PRRC2C	40	60
RPL18A	40	60
RPL28	40	60
RPS21	40	60
RPTOR	40	60
TCEA1	40	60
TRIM28	40	60
VPS8	40	60
AFTPH	49	51
C6orf120	49	51
CFD	49	51
DSTN	49	51
EIF4G3	49	51
FAM105A	49	51
FLG2	49	51
GNB1	49	51
GNG5	49	51
GP9	49	51
KLHL22	49	51
LRRC8C	49	51
MPST	49	51
OBSCN	49	51
PPP1CC	49	51
RALGAPB	49	51
RPL34	49	51
RPS2	49	51
RPS3A	49	51
SH3KBP1	49	51
ABI1	31	69
ACTA1	31	69
CRAT	31	69
ERLIN2	31	69
FAM172A	31	69
FANCI	31	69
KBTBD11	31	69
MINK1	31	69
NFXL1	31	69
PELO	31	69
POTEI	31	69
PPIH	31	69
RNF213	31	69
RPL18	31	69
SHOC2	31	69
SND1	31	69
SPIN4	31	69
TRPT1	31	69
AGO3	29	71
DCD	29	71
DHX36	29	71
DIS3	29	71
EIF2D	29	71
EIF4A3	29	71
EXOC3	29	71
GALNT1	29	71
GEMIN2	29	71
GOLGA2	29	71
INPP5D	29	71
PIGO	29	71
POLR3A	29	71
PRKG1	29	71
RNASE3	29	71
RPL19	29	71
TSSC4	29	71
VPS16	29	71
WIPF1	29	71
BST2	24	76
CNOT2	24	76
FYB	24	76
IL16	24	76
LSM4	24	76
MAGOH	24	76
NDUFA3	24	76
NEXN	24	76
NRM	24	76
PDE3B	24	76
PLBD1	24	76
RPL7A	24	76
S100A16	24	76
SRP68	24	76
TCIRG1	24	76
VPS11	24	76
WASH1	1	100
VTI1A	82	18
NPC2	100	1
TPP1	89	11
ALDH2	99	2
VAMP7	99	2
SYPL1	99	1
STX7	97	3
VPS26B	93	7
SNX3	98	2
ACAA1	84	16
ACTN1	84	16
AK2	84	16
ATP6V1H	84	16
C2orf43	84	16
CBWD1	84	16
CD58	84	16
CMTM6	84	16
DERL1	84	16
GNAQ	84	16
ICAM3	84	16
KRT4	84	16
LCP1	84	16
MAP1S	84	16
MAP3K7	84	16
MAPRE1	84	16
MPP1	84	16
MRPL46	84	16
MUT	84	16
NPEPL1	84	16
PDRG1	84	16
POLA1	84	16
QRICH1	84	16
RALBP1	84	16
RAP2B	84	16
RARS	84	16
SLC1A5	84	16
SSB	84	16
TMEM33	84	16
TRMT112	84	16
TXNIP	84	16
CBX4	63	37
CISD3	63	37
COPB2	63	37
CTNND1	63	37
EIF3K	63	37
GNB2L1	63	37
GNB4	63	37
GRN	63	37
PA2G4	63	37
PCBP1	63	37
PCIF1	63	37
RER1	63	37
RYR2	63	37
SLC25A6	63	37
TAOK1	63	37
TMEM126A	63	37
TONSL	63	37
ANKHD1	81	19
AP3M1	81	19
BLOC1S1	81	19
CACYBP	81	19
CCDC51	81	19
CECR1	81	19
CHMP1A	81	19
CSE1L	81	19
CUL4A	81	19
DHX34	81	19
FAM50A	81	19
GPX7	81	19
HCK	81	19
IGF2R	81	19
ILK	81	19
KARS	81	19
KHSRP	81	19
MYH11	81	19
NPLOC4	81	19
RSU1	81	19
SEC11A	81	19
SSNA1	81	19
STX8	81	19
SUPT3H	81	19
TCEB2	81	19
TMBIM1	81	19
TRAPPC3	81	19
TWF1	81	19
ANK3	73	27
BANF1	73	27
C8orf33	73	27
EIF2S3	73	27
EIF3F	73	27
EIF5B	73	27
FAM120A	73	27
GNB1L	73	27
MYCBP	73	27
PNPLA6	73	27
POLR3H	73	27
PRMT1	73	27
PRTN3	73	27
RAP2C	73	27
RP2	73	27
SEC61G	73	27
SERPINA3	73	27
TAMM41	73	27
TIMM8A	73	27
TOR1AIP1	73	27
UROS	73	27
ZNF598	73	27
CNOT1	37	63
DLG1	37	63
DNAJC8	37	63
FAM102A	37	64
KRT6C	37	63
MOGS	37	63
NDUFS8	37	63
NF2	37	63
PAN2	37	63
PLAUR	37	63
RPL11	37	63
RPL7	37	63
SGK223	37	63
SRPR	37	63
TRAF3IP3	37	63
UBE2A	37	63
VWF	37	63
TSPAN14	100	1
AP5B1	22	78
BCAP29	22	78
CD55	22	78
CKAP5	22	78
CLIP2	22	78
ERCC5	22	78
FAM98B	22	78
GTF2I	22	78
HDAC3	22	78
HDLBP	22	78
HNRNPK	22	78
ITPKB	22	78
KIAA0907	22	78
LRRC8A	22	78
MLF2	22	78
POLR2C	22	78
TJP2	22	78
UBE2F	97	3
TLR2	100	1
WWP2	25	75
ZDHHC5	1	100
YES1	1	100
SLC30A1	100	1
ATP6AP1	47	53
CD300E	47	53
DAPK1	47	53
DHX30	47	53
DUSP11	47	53
GABPB2	47	53
GNB2	47	53
METTL3	47	53
NFATC1	47	53
PTPLAD1	47	53
RHBDD1	47	53
ROGDI	47	53
RPL12	47	53
RPL5	47	53
RPS17L	47	53
RRAGC	47	53
SBSN	47	53
TBC1D25	47	53
ZC3H7A	47	53
SRC	90	10
UBL3	100	1
AHNAK	34	66
ARPC1B	34	66
ARPC5	34	66
CD14	34	66
CMTR1	34	66
COX5B	34	66
DDX1	34	66
DENND2D	34	66
HSD17B4	34	66
ILKAP	34	66
KRT27	34	66
NUP50	34	66
RASA3	34	66
RPL6	34	66
SNX29	34	66
SZT2	34	66
TRAM1	34	66
UXS1	34	66
ABCB10	99	1
ABHD14B	99	1
ACADM	99	1
ACP2	99	1
ACPP	99	1
ACSF2	99	1
ACSL3	99	1
ACSL5	99	1
ADPGK	99	1
ADPRHL2	99	1
ADSL	99	1
AGA	99	1
AGAP2	99	1
AHCY	99	1
AHSG	99	1
ALB	99	1
ALDH18A1	99	1
ALDH1A1	99	1
ALDH1B1	99	1
ALDH9A1	99	1
ANXA5	99	1
ANXA7	99	1
AOAH	99	1
APMAP	99	1
APOBR	99	1
APOH	99	1
APOL2	99	1
APOM	99	1
APRT	99	1
ARF1	99	1
ARHGAP1	99	1
ARHGAP27	99	1
ASAH1	99	1
ASNA1	99	1
ASPSCR1	99	1
ATG7	99	1
ATL3	99	1
BCS1L	99	1
BICD2	99	1
BLVRA	99	1
BLVRB	99	1
BTAF1	99	1
C1orf123	99	1
C20orf27	99	1
C3	99	1
C5AR1	99	1
CAD	99	1
CAMK4	99	1
CAP1	99	1
CAPG	99	1
CAPN1	99	1
CAPN2	99	1
CARM1	99	1
CASP1	99	1
CASP10	99	1
CAST	99	1
CBR1	99	1
CBR3	99	1
CCDC50	99	1
CD9	99	1
CD97	99	1
CDV3	99	1
CHMP7	99	1
CIAO1	99	1
CMPK1	99	1
CNP	99	1
CPNE2	99	1
CRYL1	99	1
CRYZ	99	1
CTDP1	99	1
CTSA	99	1
CTSB	99	1
CTSC	99	1
CUL2	99	1
CYB5A	99	1
CYB5R3	99	1
DDAH2	99	1
DDI2	99	1
DIAPH1	99	1
DLAT	99	1
DUSP23	99	1
DUT	99	1
ECHDC1	99	1
ECHS1	99	1
ECI1	99	1
EEA1	99	1
EHD3	99	1
ELOVL1	99	1
ENG	99	1
ENPP4	99	1
ERCC4	99	1
ERGIC1	99	1
ETFA	99	1
ETHE1	99	1
FAM162A	99	1
FAM49B	99	1
FASN	99	1
FCER1G	99	1
FDXR	99	1
FHL1	99	1
FKBP1A	99	1
FKBP2	99	1
FOXK1	99	1
FPR1	99	1
FPR2	99	1
FRMD8	99	1
FSCN1	99	1
FTH1	99	1
GART	99	1
GBE1	99	1
GCA	99	1
GGA1	99	1
GGA2	99	1
GIMAP5	99	1
GLB1	99	1
GLMN	99	1
GLO1	99	1
GLS	99	1
GLUL	99	1
GOLPH3	99	1
GOT2	99	1
GSDMD	99	1
GSPT1	99	1
GSS	99	1
GSTM1	99	1
GSTM2	99	1
GSTO1	99	1
GUSB	99	1
HADH	99	1
HAGH	99	1
HAT1	99	1
HBA1	99	1
HBB	99	1
HDDC2	99	1
HDDC3	99	1
HEATR3	99	1
HECTD3	99	1
HGS	99	1
HINT1	99	1
HMOX2	99	1
HPCAL1	99	1
HSPA13	99	1
HSPA4	99	1
HSPH1	99	1
HUWE1	99	1
HYOU1	99	1
ICAM1	99	1
IDH3A	99	1
IFIT1	99	1
IKBKB	99	1
IL1B	99	1
IPO5	99	1
IQGAP1	99	1
ISYNA1	99	1
ITGAM	99	1
ITGB1	99	1
ITPA	99	1
IVD	99	1
JMJD6	99	1
KLC1	99	1
KLC4	99	1
LAMP1	99	1
LDHA	99	1
LDHB	99	1
LILRB1	99	1
LIPA	99	1
LMAN1	99	1
LNP	99	1
LONP1	99	1
LPCAT1	99	1
LPXN	99	1
LRP1	99	1
LRPAP1	99	1
LRPPRC	99	1
M6PR	99	1
MAT2A	99	1
MDH1	99	1
MIA3	99	1
MICAL1	99	1
MRPL47	99	1
MTMR12	99	1
MYD88	99	1
MYO1E	99	1
MYO1F	99	1
MYO9B	99	1
NAA16	99	1
NAA50	99	1
NADK	99	1
NAGK	99	1
NAMPT	99	1
NASP	99	1
NCSTN	99	1
NDRG1	99	1
NISCH	99	1
NRBP1	99	1
NUCB2	99	1
NUDCD1	99	1
NUDT3	99	1
NUTF2	99	1
P4HA1	99	1
PAFAH1B2	99	1
PAPOLA	99	1
PAPSS2	99	1
PARK7	99	1
PCYT1A	99	1
PCYT2	99	1
PDCD6IP	99	1
PDHA1	99	1
PDHB	99	1
PEA15	99	1
PEBP1	99	1
PFDN5	99	1
PFKP	99	1
PGD	99	1
PGLS	99	1
PGM1	99	1
PI4K2A	99	1
PKM	99	1
PKN1	99	1
