Gene	Cyt Carvalho	Nucl Carvalho	Mit Carvalho
AAAS	1	98	1
AACS	100	1	1
AAGAB	100	1	1
AAK1	76	24	1
AAMP	87	12	1
AARS	70	30	1
AARS2	1	19	81
AARSD1	100	1	1
AASDHPPT	39	59	2
AATF	1	99	1
ABAT	1	88	12
ABCB1	1	81	19
ABCB10	1	34	65
ABCB7	1	38	62
ABCC1	4	87	9
ABCC4	1	29	71
ABCD1	1	1	100
ABCD3	21	74	6
ABCE1	47	51	1
ABCF1	64	34	1
ABCF2	56	41	3
ABCF3	54	45	1
ABHD10	1	35	65
ABHD11	1	54	46
ABHD14A	1	1	100
ABHD14B	70	30	1
ABI1	28	71	1
ABTB2	100	1	1
ACAA1	35	36	29
ACAA2	1	36	64
ACACA	100	1	1
ACAD10	33	15	52
ACAD8	83	1	17
ACAD9	2	53	45
ACADM	4	55	41
ACADS	4	48	48
ACADSB	4	64	32
ACADVL	1	47	53
ACAP1	1	100	1
ACAP2	49	51	1
ACAT1	1	42	58
ACAT2	73	27	1
ACBD3	25	74	1
ACLY	55	44	1
ACO1	67	31	3
ACO2	1	59	40
ACOT13	1	22	78
ACOT7	80	20	1
ACOT9	3	59	38
ACOX3	78	21	1
ACP1	77	18	5
ACPP	98	1	2
ACSF2	1	39	60
ACSF3	1	29	71
ACSL1	16	72	12
ACSL3	8	87	5
ACSL4	17	73	10
ACSL5	4	92	4
ACTA1	51	48	1
ACTB	55	44	1
ACTBL2	2	28	70
ACTG1	42	53	4
ACTL6A	13	87	1
ACTN1	53	46	1
ACTN2	1	1	100
ACTN4	52	46	2
ACTR10	100	1	1
ACTR1A	58	41	1
ACTR1B	60	40	1
ACTR2	26	73	1
ACTR3	20	79	1
ACTR3B	22	67	11
ACY1	88	12	1
ADAM10	8	81	12
ADAM17	1	1	100
ADAM8	11	52	38
ADAR	1	99	1
ADCK3	34	46	20
ADCK4	1	22	78
ADD1	30	68	1
ADD2	31	68	1
ADH5	70	30	1
ADK	67	33	1
ADO	69	20	11
ADPGK	2	97	1
ADPRHL2	73	27	1
ADRBK1	34	65	1
ADRM1	74	26	1
ADSL	82	17	1
ADSS	71	29	1
AFG3L2	2	46	52
AFTPH	88	12	1
AGAP3	59	40	1
AGFG1	78	13	9
AGK	1	82	18
AGL	100	1	1
AGPAT1	1	80	20
AGPAT2	1	99	1
AGPAT5	1	79	21
AGPAT6	1	28	72
AGPS	23	71	6
AHCY	67	33	1
AHCYL1	16	66	19
AHNAK	15	80	5
AHSA1	63	36	1
AIFM1	2	62	36
AIM1	53	47	1
AIMP1	94	4	2
AIMP2	48	47	5
AIP	82	18	1
AK2	36	37	26
AK3	3	48	50
AK4	2	30	68
AKAP1	19	37	44
AKAP13	100	1	1
AKAP17A	1	100	1
AKAP2	1	1	100
AKAP8	5	95	1
AKAP8L	26	74	1
AKR1A1	73	27	1
AKR1B1	75	22	3
AKR7A2	66	33	1
AKT1	91	9	1
AKT2	76	24	1
AKT3	94	1	6
ALAS1	1	1	100
ALCAM	2	88	10
ALDH16A1	81	19	1
ALDH18A1	1	69	30
ALDH1B1	2	71	27
ALDH6A1	1	36	64
ALDH9A1	48	39	12
ALDOA	59	37	3
ALDOC	72	27	1
ALG1	11	85	4
ALG10B	1	100	1
ALG2	1	99	1
ALG3	5	82	13
ALG5	7	92	1
ALG6	10	86	3
ALKBH1	1	1	100
ALKBH2	1	100	1
ALOX5AP	7	87	5
AMPD2	73	22	5
AMPD3	8	92	1
ANAPC1	37	63	1
ANAPC4	82	18	1
ANAPC5	53	47	1
ANAPC7	3	97	1
ANK2	1	1	100
ANK3	41	57	2
ANKFY1	98	1	2
ANKHD1	100	1	1
ANKRD13D	76	24	1
ANKRD17	80	19	1
ANKRD28	94	6	1
ANKRD44	100	1	1
ANKRD52	100	1	1
ANKZF1	100	1	1
ANO10	16	82	2
ANO6	1	1	100
ANP32A	42	57	1
ANP32B	43	55	3
ANP32E	51	49	1
ANXA1	83	17	1
ANXA11	58	41	1
ANXA2	25	69	6
ANXA4	57	42	1
ANXA5	58	42	1
ANXA6	99	1	1
ANXA7	58	42	1
AP1B1	29	71	1
AP1G1	45	54	1
AP1M1	52	47	1
AP1S1	47	52	1
AP2A1	13	71	16
AP2A2	12	81	6
AP2B1	24	68	8
AP2M1	21	68	11
AP2S1	24	70	6
AP3B1	63	37	1
AP3D1	77	23	1
AP3M1	84	16	1
AP3S1	49	48	3
AP4S1	100	1	1
APEH	80	20	1
APEX1	16	84	1
APH1A	1	1	100
API5	100	1	1
APIP	97	3	1
APMAP	8	87	5
APOA1BP	37	49	14
APOBEC3C	24	74	2
APOL2	2	77	21
APOO	1	72	28
APOOL	1	62	38
APPL1	100	1	1
APRT	66	33	1
AQR	1	98	1
ARAF	66	34	1
ARAP1	36	64	1
ARCN1	62	33	4
ARF1	44	55	1
ARF3	1	100	1
ARF4	43	56	1
ARF5	100	1	1
ARF6	19	76	5
ARFGAP1	51	44	5
ARFGAP2	31	69	1
ARFGEF1	100	1	1
ARFGEF2	72	25	3
ARFIP1	99	1	1
ARFIP2	89	11	1
ARFRP1	2	98	1
ARHGAP1	56	43	1
ARHGAP10	46	54	1
ARHGAP15	1	100	1
ARHGAP17	33	66	1
ARHGAP4	9	91	1
ARHGAP5	1	100	1
ARHGAP9	1	1	100
ARHGDIA	80	20	1
ARHGDIB	78	22	1
