Gene	Rodriguez_Pineiro_1	Rodriguez_Pineiro_2	Rodriguez_Pineiro_3	Rodriguez_Pineiro_4	Rodriguez_Pineiro_5	Rodriguez_Pineiro_6	Rodriguez_Pineiro_7	Rodriguez_Pineiro_8	Rodriguez_Pineiro_9	Rodriguez_Pineiro_10	Rodriguez_Pineiro_11		Cyt Andreyev	Nucl Andreyev	Microsomes Andreyev	PM Andreyev	ER Andreyev	Mito Andreyev		Cyt Carvalho	Nucl Carvalho	Mit Carvalho		Cyt Boisvert	Nucl Boisvert	Nucleolus Boisvert		Cyt Pinto	Nucl Pinto	Tot Pinto		Cyt Choi	Nucl Choi	Pellet Choi	Nucl soluble Choi		Cyt Mulvey	Nucl Mulvey	Total Mulvey		cyt Bileck	Nucl Bileck		Cyt Thakar	Nucl Thakar	TOT Thakar		Cyt Larance	Nucleus Larance	Cytoskeleton Larance	Membrane Larance
AARSD1	1	1	1	1	1	1	1	1	1	1	1		98	32	70	1	1	1		100	1	1		97	1	1		1	1	1		1	1	1	1		54	1	46		100	1		90	1	10		99	1	1	1
ACAT2	118	74	1	1	1	1	1	1	1	1	1		156	26	18	1	1	1		73	27	1		88	8	5		90	4	6		100	1	1	1		62	4	34		100	1		91	1	9		93	1	1	6
ADH5	1	1	1	1	1	1	1	1	1	1	1		166	28	4	1	1	1		70	30	1		82	16	1		7	2	91		100	1	1	1		95	1	3		100	1		78	1	22		92	1	1	8
ADRM1	164	36	1	1	1	1	1	1	1	1	1		72	52	76	1	1	1		74	26	1		45	30	24		17	13	70		1	1	1	1		79	21	1		97	3		57	2	40		59	1	1	40
ADSS	1	1	1	1	1	1	1	1	1	1	1		116	76	8	1	1	1		71	29	1		86	13	1		30	6	64		100	1	1	1		35	4	61		100	1		82	1	18		99	1	1	1
AHCY	112	84	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		67	33	1		86	12	1		37	25	38		93	1	7	1		65	11	24		99	1		73	1	26		84	1	1	15
ALDOA	58	68	22	6	8	10	6	6	4	4	8		140	8	24	18	8	1		59	37	3		1	1	1		77	7	17		68	16	1	16		40	9	51		96	4		67	1	33		87	1	1	13
CDC37	74	68	36	10	1	1	1	8	1	1	4		116	78	8	1	1	1		62	37	1		74	22	4		75	7	18		1	1	1	1		32	9	59		97	3		69	1	31		84	1	1	16
CKB	1	1	1	1	1	1	1	1	1	1	1		142	36	6	4	1	12		1	1	1		89	9	1		98	1	1		1	1	1	1		55	3	42		1	1		81	1	19		96	1	1	4
CNDP2	1	1	1	1	1	1	1	1	1	1	1		144	40	14	1	1	1		77	22	1		96	3	1		55	14	31		100	1	1	1		45	1	54		98	2		74	1	26		89	1	1	11
CPNE3	110	84	1	1	4	1	1	1	1	1	1		138	38	24	1	1	1		57	43	1		81	12	7		73	8	19		100	1	1	1		1	92	8		97	3		73	11	16		96	1	1	4
DPP3	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		78	22	1		90	3	7		15	1	85		100	1	1	1		38	4	58		100	1		89	1	11		93	1	1	6
ENO1	72	62	22	8	4	12	4	6	4	1	1		1	1	1	1	1	1		73	27	1		89	9	1		91	4	5		73	9	11	6		46	12	42		98	2		71	1	28		84	1	2	13
FABP3	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1		97	1	1		1	1	1		1	1	1	1		1	1	1		1	1		74	1	26		1	1	1	1
FABP5	36	16	10	4	124	1	1	4	1	1	8		164	12	4	1	14	6		89	11	1		88	10	1		90	5	6		100	1	1	1		55	17	29		98	2		98	1	2		86	1	1	14
FASN	8	152	14	1	4	4	1	4	1	4	4		142	26	28	1	1	1		74	26	1		92	6	1		9	2	90		77	1	23	1		72	9	19		99	1		92	1	7		87	1	2	11
GALK1	1	1	1	1	1	1	1	1	1	1	1		158	28	14	1	1	1		65	26	9		80	18	1		26	4	70		100	1	1	1		44	12	44		100	1		86	1	14		96	1	1	4
GCLC	1	1	1	1	1	1	1	1	1	1	1		150	16	36	1	1	1		1	1	1		73	12	15		32	1	68		100	1	1	1		63	1	37		100	1		83	1	17		98	1	1	2
GNPDA1	1	1	1	1	1	1	1	1	1	1	1		162	28	10	1	1	1		93	7	1		91	7	1		96	2	2		1	1	1	1		86	14	1		100	1		79	1	21		98	1	1	2
GOT1	116	66	1	6	1	1	1	10	1	1	1		154	14	32	1	1	1		69	31	1		90	9	1		67	17	16		100	1	1	1		50	11	39		100	1		76	1	24		89	1	1	10
GSTA4	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1		1	1	1		1	1	1		1	1	1	1		1	1	1		1	1		1	1	1		1	1	1	1
GSTM1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		74	26	1		91	4	4		1	1	1		1	1	1	1		1	1	100		99	1		100	1	1		1	1	1	1
HSP90AA1	76	56	18	6	8	8	8	6	6	1	6		122	54	10	10	4	1		60	40	1		83	15	1		23	10	67		62	9	21	9		25	8	67		95	5		83	1	16		79	1	2	19
HSP90AB1	72	56	22	6	8	10	8	6	6	1	6		130	28	8	24	4	6		64	36	1		79	19	1		24	1	75		61	9	21	8		61	22	18		96	4		81	1	19		79	1	4	16
HSPA4	200	1	1	1	1	1	1	1	1	1	1		162	12	22	1	1	1		60	40	1		77	22	1		48	10	43		100	1	1	1		57	9	34		99	1		67	1	32		74	1	1	26
HUWE1	178	1	1	1	1	1	1	22	1	1	1		54	36	26	82	1	1		75	23	2		1	21	78		4	1	96		76	24	1	1		12	1	88		99	1		89	1	11		90	1	1	9
IDH1	82	66	12	1	1	8	4	6	6	4	12		150	20	14	4	8	4		77	22	1		68	31	1		36	13	51		100	1	1	1		23	5	72		100	1		75	1	25		86	1	1	14
IMPA2	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1		81	13	6		1	1	1		1	1	1	1		1	1	1		100	1		74	1	26		1	1	1	1
LDHA	62	46	20	4	6	12	8	10	16	8	10		172	12	6	6	1	1		66	34	1		88	11	1		14	3	83		100	1	1	1		47	10	43		99	1		76	1	23		77	1	2	21
LDHB	40	30	10	1	6	20	16	16	32	10	18		1	1	1	1	1	1		65	34	1		88	11	1		1	1	1		100	1	1	1		57	11	32		99	1		68	1	30		83	1	2	14
MDH1	62	10	1	4	6	22	12	22	20	16	26		170	10	12	1	1	1		60	40	1		91	7	1		7	1	93		100	1	1	1		41	6	53		99	1		75	1	25		87	1	1	13
NPL	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1		1	1	1		1	1	1		1	1	1	1		1	1	1		100	1		1	1	1		1	1	1	1
PAFAH1B3	142	28	1	1	6	6	1	4	4	4	1		1	1	1	1	1	1		73	27	1		91	8	1		76	9	14		100	1	1	1		53	9	38		100	1		89	1	10		89	1	1	11
