Gene	Rodriguez_Pineiro_1	Rodriguez_Pineiro_2	Rodriguez_Pineiro_3	Rodriguez_Pineiro_4	Rodriguez_Pineiro_5	Rodriguez_Pineiro_6	Rodriguez_Pineiro_7	Rodriguez_Pineiro_8	Rodriguez_Pineiro_9	Rodriguez_Pineiro_10	Rodriguez_Pineiro_11		Cyt Andreyev	Nucl Andreyev	Microsomes Andreyev	PM Andreyev	ER Andreyev	Mito Andreyev		Cyt Carvalho	Nucl Carvalho	Mit Carvalho		Cyt Boisvert	Nucl Boisvert	Nucleolus Boisvert		Cyt Pinto	Nucl Pinto	Tot Pinto		Cyt Choi	Nucl Choi	Pellet Choi	Nucl soluble Choi		Cyt Mulvey	Nucl Mulvey	Total Mulvey		cyt Bileck	Nucl Bileck		Cyt Thakar	Nucl Thakar	TOT Thakar		Cyt Larance	Nucleus Larance	Cytoskeleton Larance	Membrane Larance
AKR1A1	1	1	1	1	1	1	1	1	1	1	1		136	28	32	1	1	4		73	27	1		93	6	1		46	2	52		100	1	1	1		46	9	46		100	1		87	1	13		89	1	1	11
ANP32A	1	1	1	1	1	1	1	1	1	1	1		164	16	20	1	1	1		42	57	1		66	33	1		87	7	6		100	1	1	1		44	6	50		95	5		89	5	6		66	1	2	32
ANP32E	1	1	1	1	1	1	1	1	1	1	1		86	78	12	14	6	4		51	49	1		78	20	1		80	4	16		100	1	1	1		28	22	50		92	8		62	1	38		69	1	12	18
ANXA6	1	1	1	1	1	1	1	1	1	1	1		104	38	16	28	12	1		99	1	1		56	42	1		97	3	1		87	1	10	3		6	43	51		94	6		69	7	24		1	1	1	1
ATG3	1	1	1	1	1	1	1	1	1	1	1		146	32	24	1	1	1		99	1	1		88	10	1		72	7	21		100	1	1	1		49	1	51		100	1		87	1	13		100	1	1	1
BAX	1	1	1	1	1	1	1	1	1	1	1		84	38	14	6	22	38		32	58	10		48	41	12		89	1	10		100	1	1	1		42	6	52		91	9		67	1	33		54	4	20	23
BCAT1	1	1	1	1	1	1	1	1	1	1	1		154	8	38	1	1	1		58	42	1		1	1	1		1	1	1		100	1	1	1		48	4	48		100	1		1	1	1		98	1	1	2
BPNT1	1	1	1	1	1	1	1	108	12	64	16		164	24	12	1	1	1		82	16	2		83	15	1		18	4	78		100	1	1	1		18	1	82		100	1		71	1	29		86	1	1	14
BTF3	1	1	1	1	1	1	1	1	1	1	1		108	36	50	6	1	1		68	31	1		76	22	1		1	1	1		44	40	1	16		4	13	83		74	26		72	1	28		87	2	1	12
CNDP2	1	1	1	1	1	1	1	1	1	1	1		144	40	14	1	1	1		77	22	1		96	3	1		55	14	31		100	1	1	1		45	1	54		98	2		74	1	26		89	1	1	11
