"Gene"	"Cyt.Larance"	"Nucleus.Larance"	"Cytoskeleton.Larance"	"Membrane.Larance"
"A2M"	1	1	1	100
"AAAS"	1	32	53	15
"AACS"	98	1	1	2
"AAK1"	100	1	1	1
"AAMDC"	77	1	1	23
"AAMP"	99	1	1	1
"AAR2"	100	1	1	1
"AARS"	88	1	1	12
"AARS2"	1	1	1	100
"AARSD1"	99	1	1	1
"AASDHPPT"	96	1	1	4
"AATF"	1	34	66	1
"ABCB1"	1	29	47	23
"ABCB10"	1	4	1	96
"ABCB7"	3	6	1	91
"ABCC4"	1	66	1	34
"ABCD3"	6	32	25	37
"ABCE1"	89	1	1	11
"ABCF1"	76	4	1	18
"ABCF2"	90	1	1	9
"ABCF3"	97	1	1	3
"ABHD10"	1	2	1	98
"ABHD11"	1	1	1	100
"ABHD12"	1	1	1	99
"ABHD14B"	96	1	1	3
"ABHD16A"	1	1	1	100
"ABI1"	61	1	1	38
"ABI2"	95	1	1	5
"ABL1"	100	1	1	1
"ABL2"	100	1	1	1
"ABLIM1"	17	15	65	3
"ABLIM3"	6	33	57	4
"ABR"	77	23	1	1
"ABRACL"	73	1	1	27
"ABT1"	17	18	65	1
"ACAA1"	1	1	1	100
"ACAA2"	1	1	1	100
"ACACA"	98	1	1	2
"ACACB"	50	1	1	50
"ACAD9"	1	19	31	50
"ACADM"	1	1	1	99
"ACADSB"	1	1	1	100
"ACADVL"	1	1	1	99
"ACAT1"	1	2	1	98
"ACAT2"	93	1	1	6
"ACBD3"	1	1	1	98
"ACBD7"	100	1	1	1
"ACIN1"	1	55	38	6
"ACLY"	82	1	1	18
"ACO1"	89	1	1	11
"ACO2"	1	1	1	98
"ACOT1"	1	1	1	99
"ACOT13"	12	1	1	87
"ACOT7"	86	1	1	14
"ACOT9"	1	1	1	99
"ACOX1"	1	1	1	99
"ACP1"	78	1	1	22
"ACP2"	1	1	1	100
"ACSF2"	1	1	1	100
"ACSL1"	1	1	1	100
"ACSL3"	1	2	8	90
"ACSL4"	1	1	1	99
"ACSS2"	100	1	1	1
"ACTB"	30	11	49	11
"ACTBL2"	27	18	25	30
"ACTC1"	30	13	47	11
"ACTG1"	1	1	100	1
"ACTL6A"	78	6	7	9
"ACTN1"	30	25	33	12
"ACTN2"	44	28	16	12
"ACTN3"	1	100	1	1
"ACTN4"	27	20	34	19
"ACTR1A"	81	1	1	19
"ACTR2"	55	4	35	6
"ACTR3"	47	5	43	5
"ACTR5"	61	39	1	1
"ACY1"	97	1	1	3
"ACYP1"	98	1	1	2
"ADA"	96	1	1	4
"ADAM10"	1	1	26	73
"ADAM17"	1	1	1	100
"ADAR"	1	61	37	2
"ADCK3"	1	1	1	100
"ADD1"	29	38	31	3
"ADD3"	5	39	56	1
"ADH5"	92	1	1	8
"ADI1"	97	1	1	3
"ADK"	89	1	1	11
"ADNP"	1	35	1	65
"ADNP2"	1	100	1	1
"ADO"	99	1	1	1
"ADPGK"	1	2	1	98
"ADPRHL2"	68	1	1	32
"ADRBK1"	74	1	1	26
"ADRM1"	59	1	1	40
"ADSL"	84	1	1	15
