Uniprot.Accession	Gene	Christoforou_UniprotGO_overlap3	Uni_GO_overlap4	Christoforou_UniprotGO_sum5	Uniprot_GO_SUM6	HPA_Single_supportive7	HPA_Single_uncertain8	svm9	Christoforou10
P04217	A1BG								
Q9NQ94	A1CF					Nucleus			
P01023	A2M								
A8K2U0	A2ML1								
Q9NPC4	A4GALT	Golgi	Golgi	Golgi	Golgi				
Q9UNA3	A4GNT	Golgi	Golgi	Golgi	Golgi				
Q9NRG9	AAAS			Nucleus	Nucleus				
Q86V21	AACS	Cytosol	cytosol	Cytosol	cytosol				Cytosol
P22760	AADAC	ER	ER	ER	ER				
Q6P093	AADACL2								
Q5VUY0	AADACL3								
Q5VUY2	AADACL4								
Q8N5Z0	AADAT	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		PM		
Q7RTV5	AAED1								
Q6PD74	AAGAB			cytosol	cytosol				
Q2M2I8	AAK1					PM			
Q9H7C9	AAMDC			cytosol	cytosol				
Q13685	AAMP					CS			
Q16613	AANAT			cytosol	cytosol				
Q9Y312	AAR2						cytosol		
Q4LEZ3	AARD						Mitochondrion		
P49588	AARS	Cytosol		Cytosol	cytosol	cytosol			Cytosol
Q5JTZ9	AARS2	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q9BTE6	AARSD1	Cytosol		Cytosol	cytosol			Cytosol	Cytosol
Q4L235	AASDH								
Q9NRN7	AASDHPPT	cytosol	cytosol	cytosol	cytosol				
Q9UDR5	AASS			Mitochondrion	Mitochondrion	Mitochondrion			
Q9NY61	AATF	Nucleus		nucleus	Nucleus			Nucleus	Nucleus
Q6ZMQ8	AATK						Mitochondrion		
P80404	ABAT			Mitochondrion	Mitochondrion				
O95477	ABCA1	PM		PM					PM
Q8WWZ4	ABCA10								
Q4W5N1	ABCA11P								
Q86UK0	ABCA12								
Q86UQ4	ABCA13								
Q9BZC7	ABCA2								
Q99758	ABCA3								
P78363	ABCA4								
Q8WWZ7	ABCA5						Nucleus		
Q8N139	ABCA6								
Q8IZY2	ABCA7								
O94911	ABCA8			PM	PM				
Q8IUA7	ABCA9			Mitochondrion	Mitochondrion				
P08183	ABCB1	PM	PM	PM	PM				
Q9NRK6	ABCB10	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
O95342	ABCB11								
P21439	ABCB4								
Q2M3G0	ABCB5	PM	PM	PM	PM				
Q9NP58	ABCB6	Lysosome		Lysosome					Lysosome
O75027	ABCB7	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q9NUT2	ABCB8	Mitochondrion		Mitochondrion	Mitochondrion				Mitochondrion
Q9NP78	ABCB9			lysosome	lysosome				
P33527	ABCC1	PM	PM	PM	PM	PM		PM	PM
Q5T3U5	ABCC10			PM	PM				
Q96J66	ABCC11			PM	PM				
Q96J65	ABCC12								
Q9NSE7	ABCC13								
Q92887	ABCC2	PM	PM	PM	PM				
O15438	ABCC3			PM	PM		PM		
O15439	ABCC4								
O15440	ABCC5			PM	PM				
O95255	ABCC6					PM			
Q09428	ABCC8			PM	PM				
O60706	ABCC9								
P33897	ABCD1			Peroxisome	Peroxisome				
Q9UBJ2	ABCD2			Peroxisome	Peroxisome				
P28288	ABCD3	Peroxisome		Peroxisome	Peroxisome			Peroxisome	Peroxisome
O14678	ABCD4			Peroxisome	Peroxisome				
P61221	ABCE1					cytosol			
Q8NE71	ABCF1					cytosol			
Q9UG63	ABCF2								
Q9NUQ8	ABCF3					cytosol			
P45844	ABCG1								
Q9UNQ0	ABCG2	PM		PM					PM
Q9H172	ABCG4			PM	PM				
Q9H222	ABCG5			PM	PM		Nucleus		
Q9H221	ABCG8			PM	PM				
Q96SE0	ABHD1								
Q9NUJ1	ABHD10	Mitochondrion		Mitochondrion	Mitochondrion	Nucleus		Mitochondrion	Mitochondrion
Q8NFV4	ABHD11	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q8N2K0	ABHD12	ER		ER	PM				ER
Q7Z5M8	ABHD12B						Nucleus		
Q7L211	ABHD13						cytosol		
Q9BUJ0	ABHD14A								
Q96IU4	ABHD14B								
Q6UXT9	ABHD15								
O95870	ABHD16A	ER		ER					ER
Q9H3Z7	ABHD16B						Nucleus		
Q96GS6	ABHD17A								
Q5VST6	ABHD17B								
Q6PCB6	ABHD17C								
P08910	ABHD2								
Q8WU67	ABHD3			PM	PM				
Q8TB40	ABHD4			ER	ER		Nucleus		
Q8WTS1	ABHD5								
Q9BV23	ABHD6	ER		ER	Mitochondrion				ER
Q96I13	ABHD8						Nucleus		
Q8IZP0	ABI1	PM		PM					PM
Q9NYB9	ABI2	CS	CS	CS	CS		Nucleus		
Q9P2A4	ABI3			CS	CS				
Q7Z7G0	ABI3BP								
P00519	ABL1					Nucleus			
P42684	ABL2			CS	CS	Nucleus			
O14639	ABLIM1			CS	CS	cytosol			
Q6H8Q1	ABLIM2	CS	CS	CS	CS				
O94929	ABLIM3	cytosol	cytosol	cytosol	cytosol				
P16442	ABO			Golgi	Golgi				
Q12979	ABR	CS		CS					CS
Q8N0Z2	ABRA			CS	CS				
Q9P1F3	ABRACL								
Q9ULW3	ABT1	Nucleus	Nucleus	nucleus	Nucleus			Nucleus	Nucleus
Q969K4	ABTB1			cytosol	cytosol				
Q8N961	ABTB2			Nucleus	Nucleus	Nucleus			
P09110	ACAA1			Peroxisome	Peroxisome				
P42765	ACAA2	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q13085	ACACA			cytosol	cytosol				
O00763	ACACB								
Q6JQN1	ACAD10	Mitochondrion		Mitochondrion	Mitochondrion				Mitochondrion
Q709F0	ACAD11	Peroxisome		Peroxisome					Peroxisome
Q9UKU7	ACAD8	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
Q9H845	ACAD9	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
P28330	ACADL	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
P11310	ACADM	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
P16219	ACADS	Mitochondrion		Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
P45954	ACADSB	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
P49748	ACADVL	Mitochondrion		Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
P16112	ACAN								
Q15027	ACAP1			endosome	endosome				
Q15057	ACAP2	endosome	endosome	endosome	endosome				
Q96P50	ACAP3								
P24752	ACAT1	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q9BWD1	ACAT2	Cytosol		Cytosol	cytosol			Cytosol	Cytosol
Q9H3P7	ACBD3					Golgi			
Q8NC06	ACBD4								
Q5T8D3	ACBD5	Peroxisome		Peroxisome	Peroxisome			Peroxisome	Peroxisome
Q9BR61	ACBD6	cytosol	cytosol	cytosol	cytosol				
Q8N6N7	ACBD7								
Q96QU6	ACCS						Golgi		
Q4AC99	ACCSL								
Q96AP0	ACD			Nucleus	Nucleus				
P12821	ACE								
Q9BYF1	ACE2								
Q8TDN7	ACER1	ER	ER	ER	ER				
Q5QJU3	ACER2	Golgi	Golgi	Golgi	Golgi				
Q9NUN7	ACER3								
P22303	ACHE								
Q9UKV3	ACIN1	Nucleus		Nucleus	Nucleus				Nucleus
Q16570	ACKR1			PM	PM				
O00590	ACKR2								
P25106	ACKR3					PM			
Q9NPB9	ACKR4			PM	PM				
P53396	ACLY	Cytosol		Cytosol	cytosol				Cytosol
Q8TDX5	ACMSD			cytosol	cytosol		cytosol		
Q9NRP4	ACN9	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
P21399	ACO1	Cytosol		Cytosol	cytosol				Cytosol
Q99798	ACO2	Mitochondrion		Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
Q86TX2	ACOT1	cytosol	cytosol	cytosol	cytosol		Mitochondrion		
Q8WXI4	ACOT11	cytosol	cytosol	cytosol	cytosol				
Q8WYK0	ACOT12	cytosol	cytosol	cytosol	cytosol				
Q9NPJ3	ACOT13	Mitochondrion		Mitochondrion					Mitochondrion
P49753	ACOT2	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion		
Q8N9L9	ACOT4	Peroxisome	Peroxisome	Peroxisome	Peroxisome				
Q3I5F7	ACOT6			cytosol	cytosol				
O00154	ACOT7								
Q6ZUV0	ACOT7L	cytosol	cytosol	cytosol	cytosol				
O14734	ACOT8	Peroxisome		Peroxisome				Peroxisome	Peroxisome
Q9Y305	ACOT9	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
Q15067	ACOX1			Peroxisome	Peroxisome				
Q99424	ACOX2			Peroxisome	Peroxisome				
O15254	ACOX3	Peroxisome		Peroxisome	Peroxisome				Peroxisome
Q9NUZ1	ACOXL			Peroxisome	Peroxisome				
P24666	ACP1	Cytosol		Cytosol	cytosol				Cytosol
P11117	ACP2	Lysosome		Lysosome				Lysosome	Lysosome
P13686	ACP5			lysosome	lysosome		cytosol		
Q9NPH0	ACP6	Mitochondrion		Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
Q8TE99	ACPL2			Golgi	Golgi				
P15309	ACPP								
Q9BZG2	ACPT								
P10323	ACR								
Q8NEB7	ACRBP								
Q96QF7	ACRC	Nucleus	Nucleus	Nucleus	Nucleus				
P26436	ACRV1								
Q96GR2	ACSBG1								
Q5FVE4	ACSBG2						cytosol		
Q96CM8	ACSF2	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
Q4G176	ACSF3	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
P33121	ACSL1	ER		ER					ER
O95573	ACSL3	ER		ER					ER
O60488	ACSL4	ER		ER					ER
Q9ULC5	ACSL5	ER		ER					ER
Q9UKU0	ACSL6								
Q08AH1	ACSM1	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q08AH3	ACSM2A	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q68CK6	ACSM2B	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q53FZ2	ACSM3	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
P0C7M7	ACSM4	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q6NUN0	ACSM5	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
