Gene	Rodriguez-Pineiro_1	Rodriguez-Pineiro_2	Rodriguez-Pineiro_3	Rodriguez-Pineiro_4	Rodriguez-Pineiro_5	Rodriguez-Pineiro_6	Rodriguez-Pineiro_7	Rodriguez-Pineiro_8	Rodriguez-Pineiro_9	Rodriguez-Pineiro_10	Rodriguez-Pineiro_11
AAAS	1	1	1	10	18	82	52	8	16	6	10
AARS	152	16	10	1	1	1	1	4	1	1	10
AARS2	1	1	1	1	1	1	12	20	90	24	56
ABCB10	1	1	1	1	1	1	16	22	44	60	58
ABCB6	10	98	1	16	24	24	1	1	6	1	22
ABCB7	1	1	1	1	1	1	82	36	1	48	34
ABCB8	1	1	1	1	1	8	94	42	34	10	10
ABCD1	1	1	1	1	1	1	1	1	1	1	1
ABCD3	1	1	1	1	6	26	36	16	54	24	38
ABCF1	1	100	100	1	1	1	1	1	1	1	1
ABCF3	180	1	1	1	1	1	1	1	1	1	20
ABHD10	1	1	1	1	1	1	1	46	92	48	12
ABHD11	1	1	1	1	1	1	1	40	76	48	32
ABHD12	1	1	1	1	26	62	32	32	24	10	12
ABHD16A	1	1	1	1	10	56	50	22	40	16	4
ABI1	46	122	30	1	1	1	1	1	1	1	1
ACAA1	1	1	1	1	6	20	28	42	42	32	28
ACAA2	1	1	1	1	6	14	22	42	56	42	16
ACAD11	1	1	1	1	1	24	10	18	90	18	40
ACAD9	1	1	1	1	4	10	16	20	106	32	14
ACADSB	1	1	1	1	1	1	1	46	82	64	6
ACADVL	1	1	1	1	4	12	32	18	78	32	20
ACAT1	1	1	1	1	4	8	24	42	62	38	24
ACAT2	118	74	1	1	1	1	1	1	1	1	1
ACBD4	1	1	1	1	1	1	1	1	200	1	1
ACBD5	1	1	1	1	12	26	30	14	48	22	48
ACIN1	1	70	90	1	16	1	1	1	1	22	1
ACLY	174	22	1	1	1	1	1	1	1	1	1
ACO1	144	56	1	1	1	1	1	1	1	1	1
ACO2	1	1	1	1	4	10	32	46	62	28	20
ACOT13	1	1	1	1	1	1	1	78	1	122	1
ACOT7	150	50	1	1	1	1	1	1	1	1	1
ACOT8	1	1	1	1	1	14	20	46	66	4	50
ACOT9	1	1	1	1	1	1	1	38	138	14	12
ACOX1	1	1	1	1	6	30	24	34	58	22	22
ACOX2	1	1	1	1	1	16	34	18	60	26	46
ACP1	200	1	1	1	1	1	1	1	1	1	1
ACP2	184	10	8	1	1	1	1	1	1	1	1
ACSF2	1	1	1	1	1	1	1	1	186	14	1
ACSL1	18	18	24	8	18	30	32	16	16	8	10
ACSL3	1	6	20	12	24	46	28	18	26	8	10
ACSL4	130	34	16	8	1	4	1	1	1	1	1
ACSL5	1	1	46	6	32	42	30	8	20	8	6
ACTBL2	54	26	48	10	14	14	12	6	8	4	8
ACTC1	18	136	44	1	1	1	1	1	1	1	1
ACTL6A	1	70	122	6	1	1	1	1	1	1	1
ACTN1	28	94	44	6	6	10	1	1	1	1	4
ACTN2	32	66	40	6	14	16	6	4	6	1	8
ACTN4	36	76	46	6	10	10	4	1	4	1	4
ACTR1A	182	18	1	1	1	1	1	1	1	1	1
ACTR1B	1	1	1	1	1	1	1	1	1	1	1
ACTR2	48	48	60	1	12	12	8	4	4	1	1
ACTR3	30	74	46	12	6	16	6	4	1	1	1
ACY1	130	1	1	1	1	1	1	26	12	1	32
