Gene	Cyt Thakar	Nucl Thakar	TOT Thakar
A2M	94	1	6
AAAS	1	71	29
AACS	100	1	1
AAK1	87	1	13
AAMDC	96	1	4
AAMP	89	1	11
AAR2	52	1	47
AARS	81	1	18
AARS2	1	1	100
AARSD1	90	1	10
AASDHPPT	69	1	31
AATF	1	100	1
ABCB10	1	1	100
ABCB6	1	1	100
ABCB7	1	1	100
ABCC1	1	1	100
ABCC2	1	1	100
ABCC4	1	53	47
ABCC5	1	1	100
ABCD1	1	1	100
ABCD3	1	6	94
ABCE1	83	1	17
ABCF1	78	1	20
ABCF2	74	1	24
ABCF3	90	1	10
ABCG2	39	45	16
ABHD10	1	6	94
ABHD12	1	1	100
ABHD14B	84	1	16
ABI1	89	1	11
ABLIM1	1	100	1
ABR	100	1	1
ABT1	1	100	1
ABTB2	95	1	5
ACAA1	22	1	78
ACAA2	1	1	100
ACACA	91	1	9
ACAD11	1	90	10
ACAD8	50	50	1
ACAD9	1	56	44
ACADS	50	50	1
ACADSB	1	1	100
ACADVL	1	5	95
ACAP2	81	1	19
ACAT1	6	6	88
ACAT2	91	1	9
ACBD3	51	1	49
ACBD6	100	1	1
ACD	1	1	100
ACIN1	1	100	1
ACO1	85	1	14
ACO2	1	4	95
ACOT13	16	3	81
ACOT2	56	1	44
ACOT7	90	1	10
ACOT9	1	1	100
ACOX1	1	1	100
ACP1	1	5	95
ACP2	1	1	100
ACSF2	1	1	100
ACSF3	1	1	100
ACSL1	16	1	84
ACSL3	1	5	95
ACSL4	64	1	35
ACSS2	100	1	1
ACTA1	1	100	1
ACTBL2	63	1	37
ACTC1	1	100	1
ACTG1	72	1	28
ACTL6A	12	70	18
ACTL8	50	22	28
ACTN1	53	30	16
ACTN4	77	1	22
ACTR10	84	1	16
ACTR1A	80	1	20
ACTR2	75	1	24
ACTR3	80	3	16
ACTR5	1	100	1
ACTR6	1	100	1
ACTR8	1	100	1
ACY1	75	1	25
ACYP1	87	1	13
ACYP2	82	1	18
ADA	1	1	100
ADAM10	50	50	1
ADAM22	50	50	1
ADAMTS10	50	50	1
ADAR	1	100	1
ADARB1	1	100	1
ADAT3	82	1	18
ADH5	78	1	22
ADH6	38	1	62
ADI1	82	1	18
ADK	76	1	24
ADNP	1	100	1
ADORA3	1	100	1
ADORA3	1	100	1
ADPGK	50	50	1
ADPRHL2	72	1	28
ADRBK1	93	1	7
ADRM1	57	2	40
ADSL	83	1	17
ADSS	82	1	18
AFAP1	1	100	1
AFG3L2	1	3	97
AGFG1	59	1	41
AGL	87	1	13
AGO2	100	1	1
AGPAT1	1	1	100
AGPAT5	1	41	59
AGPS	1	1	98
AGTPBP1	91	3	6
AHCTF1	1	100	1
AHCY	73	1	26
AHCYL1	73	4	23
AHNAK	14	78	9
AHNAK2	1	14	86
AHR	50	50	1
AHSA1	75	1	24
AIFM1	1	8	92
AIFM2	1	1	100
AIMP1	68	1	31
AIMP2	78	1	21
AIP	86	1	14
AK1	81	1	19
AK2	36	3	60
AK3	1	1	100
AK6	1	100	1
AKAP1	1	4	96
AKAP10	100	1	1
AKAP13	81	1	19
AKAP8	1	97	3
AKAP8L	100	1	1
AKAP9	24	1	76
AKR1A1	87	1	13
AKR1B1	78	1	22
AKR1C2	100	1	1
AKR7A2	82	1	18
AKT1S1	89	1	11
AKT2	100	1	1
ALAD	100	1	1
ALDH16A1	94	2	4
ALDH18A1	1	14	85
ALDH1A3	98	1	2
ALDH1B1	1	1	100
ALDH1L2	1	1	100
ALDH2	100	1	1
ALDH3A2	1	16	84
ALDH3B1	1	100	1
ALDH5A1	1	4	96
ALDH7A1	66	1	33
ALDH9A1	75	1	25
ALDOA	67	1	33
ALDOC	77	1	23
ALG1	1	1	100
ALG10	1	1	100
ALG13	1	71	29
ALG2	50	50	1
ALG3	1	1	100
ALG5	1	1	100
ALKBH4	53	1	47
ALKBH5	1	88	12
ALKBH7	1	1	100
ALS2CR12	1	1	100
ALYREF	6	88	7
AMDHD2	70	1	30
AMOTL1	1	100	1
AMPD2	85	1	15
ANAPC1	70	1	29
ANAPC10	1	1	100
ANAPC2	46	7	46
ANAPC4	1	12	88
ANAPC5	62	33	5
ANAPC7	79	4	17
ANKFY1	78	1	22
ANKH	1	1	100
ANKHD1	74	1	26
ANKLE2	1	1	100
ANKMY2	100	1	1
ANKRD17	90	1	10
ANKRD28	100	1	1
ANKRD52	95	1	5
ANKS1A	100	1	1
ANKZF1	62	1	38
ANLN	1	1	100
ANO6	1	1	100
ANP32A	89	5	6
ANP32B	30	4	66
ANP32E	62	1	38
ANTXR1	1	24	76
ANXA1	78	2	20
ANXA11	63	5	32
ANXA2	52	8	40
ANXA3	63	1	37
ANXA4	59	3	38
ANXA5	56	3	41
ANXA6	69	7	24
ANXA7	61	3	35
ANXA8	100	1	1
AP1B1	55	1	45
AP1G1	80	2	18
AP1M1	50	1	50
AP1S1	79	3	19
AP1S2	1	1	100
AP1S3	65	1	35
AP2A1	60	34	5
AP2A2	57	2	41
AP2B1	80	9	11
AP2M1	23	28	49
AP2S1	28	61	11
AP3B1	78	1	22
AP3D1	77	1	23
AP3M1	94	1	6
AP3M2	1	100	1
AP3S1	89	1	11
AP3S2	1	1	100
AP4B1	100	1	1
AP4S1	1	100	1
APAF1	100	1	1
APC	1	1	100
APEH	92	1	8
APEX1	59	3	38
API5	54	29	16
APIP	100	1	1
APLP2	1	1	100
APMAP	1	13	87
APOA1	86	1	14
APOA1BP	85	1	15
APOA2	1	1	100
APOBEC3B	1	100	1
APOBEC3C	40	56	5
APOL2	24	2	74
APOM	1	1	100
APOO	1	38	62
APP	1	4	96
APPL1	95	1	5
APRT	87	1	11
APTX	1	100	1
AQR	5	80	14
ARAF	100	1	1
ARAP1	84	1	16
ARCN1	91	1	8
ARF1	81	3	16
ARF3	1	100	1
ARF4	64	10	26
ARF5	60	7	33
ARF6	82	1	17
ARFGAP1	1	1	100
ARFGAP2	89	1	11
ARFGAP3	1	1	100
ARFGEF1	99	1	1
ARFGEF2	86	1	14
ARFIP1	54	1	46
ARFIP2	75	1	25
ARG1	100	1	1
ARGLU1	1	100	1
ARHGAP1	74	1	26
ARHGAP17	89	1	11
ARHGAP18	100	1	1
ARHGAP21	16	1	84
ARHGAP29	100	1	1
ARHGAP35	100	1	1
ARHGAP4	99	1	1
ARHGAP5	100	1	1
ARHGDIA	87	1	13
ARHGEF1	99	1	1
ARHGEF10	100	1	1
ARHGEF11	96	1	4
ARHGEF12	100	1	1
ARHGEF16	83	1	17
ARHGEF18	95	1	5
ARHGEF2	87	1	13
ARHGEF7	90	1	10
ARID1A	1	100	1
ARID2	1	100	1
ARIH1	76	1	24
ARIH2	97	1	3
ARL1	61	9	30
ARL2	83	1	17
ARL2BP	84	1	16
ARL3	91	1	9
ARL5A	100	1	1
ARL6	100	1	1
ARL6IP1	1	16	84
ARL6IP5	1	1	100
ARL8A	50	50	1
ARL8B	1	8	92
ARMC1	76	1	24
ARMC10	1	81	19
