Gene	Cyt Carvalho	Nucl Carvalho	Mit Carvalho		cyt Bileck	Nucl Bileck		Cyt Thakar	Nucl Thakar	TOT Thakar
AAAS	1	98	1		1	100		1	71	29
AAK1	76	24	1		74	26		87	1	13
AAMP	87	12	1		98	2		89	1	11
AARS	70	30	1		100	1		81	1	18
AARS2	1	19	81		100	1		1	1	100
AARSD1	100	1	1		100	1		90	1	10
AASDHPPT	39	59	2		100	1		69	1	31
AATF	1	99	1		1	100		1	100	1
ABCB10	1	34	65		99	1		1	1	100
ABCB7	1	38	62		100	1		1	1	100
ABCC1	4	87	9		40	60		1	1	100
ABCD1	1	1	100		59	41		1	1	100
ABCD3	21	74	6		11	89		1	6	94
ABCE1	47	51	1		71	29		83	1	17
ABCF1	64	34	1		44	56		78	1	20
ABCF2	56	41	3		69	31		74	1	24
ABCF3	54	45	1		100	1		90	1	10
ABHD10	1	35	65		96	4		1	6	94
ABHD14B	70	30	1		99	1		84	1	16
ABI1	28	71	1		31	69		89	1	11
ACAA1	35	36	29		84	16		22	1	78
ACAA2	1	36	64		93	7		1	1	100
ACACA	100	1	1		51	49		91	1	9
ACAD8	83	1	17		100	1		50	50	1
ACAD9	2	53	45		85	15		1	56	44
ACADS	4	48	48		100	1		50	50	1
ACADSB	4	64	32		100	1		1	1	100
ACADVL	1	47	53		85	15		1	5	95
ACAP2	49	51	1		98	2		81	1	19
ACAT1	1	42	58		94	6		6	6	88
ACAT2	73	27	1		100	1		91	1	9
ACBD3	25	74	1		96	4		51	1	49
ACO1	67	31	3		100	1		85	1	14
ACO2	1	59	40		100	1		1	4	95
ACOT13	1	22	78		69	31		16	3	81
ACOT7	80	20	1		100	1		90	1	10
ACOT9	3	59	38		85	15		1	1	100
ACP1	77	18	5		100	1		1	5	95
ACSF2	1	39	60		99	1		1	1	100
ACSF3	1	29	71		98	2		1	1	100
ACSL1	16	72	12		100	1		16	1	84
ACSL3	8	87	5		99	1		1	5	95
ACSL4	17	73	10		96	4		64	1	35
ACTA1	51	48	1		31	69		1	100	1
ACTBL2	2	28	70		85	15		63	1	37
ACTG1	42	53	4		56	44		72	1	28
ACTL6A	13	87	1		6	94		12	70	18
ACTN1	53	46	1		84	16		53	30	16
ACTN4	52	46	2		2	98		77	1	22
ACTR10	100	1	1		87	13		84	1	16
ACTR1A	58	41	1		80	20		80	1	20
ACTR2	26	73	1		25	75		75	1	24
ACTR3	20	79	1		32	68		80	3	16
ACY1	88	12	1		100	1		75	1	25
ADAM10	8	81	12		94	6		50	50	1
ADAR	1	99	1		1	100		1	100	1
ADH5	70	30	1		100	1		78	1	22
ADK	67	33	1		100	1		76	1	24
ADPGK	2	97	1		99	1		50	50	1
ADPRHL2	73	27	1		99	1		72	1	28
ADRBK1	34	65	1		78	22		93	1	7
ADRM1	74	26	1		97	3		57	2	40
ADSL	82	17	1		99	1		83	1	17
ADSS	71	29	1		100	1		82	1	18
AFG3L2	2	46	52		64	36		1	3	97
AGFG1	78	13	9		70	30		59	1	41
AGL	100	1	1		100	1		87	1	13
AGPAT1	1	80	20		96	4		1	1	100
AGPAT5	1	79	21		28	72		1	41	59
AGPS	23	71	6		85	15		1	1	98
AHCY	67	33	1		99	1		73	1	26
AHCYL1	16	66	19		98	2		73	4	23
AHNAK	15	80	5		34	66		14	78	9
AHSA1	63	36	1		100	1		75	1	24
AIFM1	2	62	36		38	62		1	8	92
AIMP1	94	4	2		77	23		68	1	31
AIMP2	48	47	5		100	1		78	1	21
AIP	82	18	1		95	5		86	1	14
AK2	36	37	26		84	16		36	3	60
AK3	3	48	50		100	1		1	1	100
AKAP13	100	1	1		83	17		81	1	19
AKAP8	5	95	1		1	100		1	97	3
AKAP8L	26	74	1		25	75		100	1	1
AKR1A1	73	27	1		100	1		87	1	13
AKR1B1	75	22	3		100	1		78	1	22
AKR7A2	66	33	1		100	1		82	1	18
AKT2	76	24	1		98	2		100	1	1
ALDH16A1	81	19	1		100	1		94	2	4
ALDH18A1	1	69	30		99	1		1	14	85
ALDH1B1	2	71	27		99	1		1	1	100
ALDH9A1	48	39	12		99	1		75	1	25
ALDOA	59	37	3		96	4		67	1	33
ALDOC	72	27	1		98	2		77	1	23
ALG1	11	85	4		100	1		1	1	100
ALG2	1	99	1		100	1		50	50	1
ALG5	7	92	1		100	1		1	1	100
AMPD2	73	22	5		100	1		85	1	15
ANAPC1	37	63	1		11	89		70	1	29
ANAPC4	82	18	1		9	91		1	12	88
ANAPC5	53	47	1		26	74		62	33	5
ANAPC7	3	97	1		4	96		79	4	17
ANKFY1	98	1	2		93	7		78	1	22
ANKHD1	100	1	1		81	19		74	1	26
ANKRD17	80	19	1		100	1		90	1	10
ANKRD28	94	6	1		100	1		100	1	1
ANKZF1	100	1	1		15	85		62	1	38
ANO6	1	1	100		98	2		1	1	100
ANP32A	42	57	1		95	5		89	5	6
ANP32B	43	55	3		93	7		30	4	66
ANP32E	51	49	1		92	8		62	1	38
ANXA1	83	17	1		98	2		78	2	20
ANXA11	58	41	1		92	8		63	5	32
ANXA2	25	69	6		74	26		52	8	40
ANXA4	57	42	1		100	1		59	3	38
ANXA5	58	42	1		99	1		56	3	41
ANXA6	99	1	1		94	6		69	7	24
ANXA7	58	42	1		99	1		61	3	35
AP1B1	29	71	1		90	10		55	1	45
AP1G1	45	54	1		95	5		80	2	18
AP1M1	52	47	1		91	9		50	1	50
AP1S1	47	52	1		89	11		79	3	19
AP2A1	13	71	16		52	48		60	34	5
AP2A2	12	81	6		100	1		57	2	41
AP2B1	24	68	8		52	48		80	9	11
AP2M1	21	68	11		46	54		23	28	49
AP2S1	24	70	6		60	40		28	61	11
AP3B1	63	37	1		83	17		78	1	22
AP3D1	77	23	1		78	22		77	1	23
AP3M1	84	16	1		81	19		94	1	6
AP3S1	49	48	3		70	30		89	1	11
APEH	80	20	1		100	1		92	1	8
APEX1	16	84	1		33	67		59	3	38
API5	100	1	1		1	100		54	29	16
APIP	97	3	1		95	5		100	1	1
APMAP	8	87	5		99	1		1	13	87
APOA1BP	37	49	14		100	1		85	1	15
APOBEC3C	24	74	2		16	84		40	56	5
APOL2	2	77	21		99	1		24	2	74
APOO	1	72	28		70	30		1	38	62
APPL1	100	1	1		100	1		95	1	5
APRT	66	33	1		99	1		87	1	11
AQR	1	98	1		1	100		5	80	14
ARAF	66	34	1		97	3		100	1	1
ARAP1	36	64	1		96	4		84	1	16
ARCN1	62	33	4		52	48		91	1	8
ARF1	44	55	1		99	1		81	3	16
ARF3	1	100	1		100	1		1	100	1
ARF4	43	56	1		96	4		64	10	26
ARF5	100	1	1		100	1		60	7	33
ARF6	19	76	5		96	4		82	1	17
ARFGAP1	51	44	5		100	1		1	1	100
ARFGAP2	31	69	1		76	24		89	1	11
ARFGEF2	72	25	3		100	1		86	1	14
ARHGAP1	56	43	1		99	1		74	1	26
ARHGAP17	33	66	1		66	34		89	1	11
ARHGDIA	80	20	1		98	2		87	1	13
