"Annot_Gene"	"Annot_Christoforou_Uniprot_G.O_overlap"	"Annot_Christoforou_Uniprot_G.O_sum"	"Annot_HPA_Single_supportive"	"HPA.main.location"	"HPA.Other.loc"	"HPA.Reliability"	"Gene.ontology.cellular.component"	"Uniprot.Subcellular.location"	"overlap"	"clusters"	"assigned_location_Christoforou_Uniprot_G.O_overlap"	"precision_assigned_location_Christoforou_Uniprot_G.O_overlap"	"assigned_location_Christoforou_Uniprot_G.O_sum"	"precision_assigned_location_Christoforou_Uniprot_G.O_sum"	"assigned_location_HPA_Single_supportive"	"precision_assigned_location_HPA_Single_supportive"	"data_Gene"	"data_non_NUM_space"	"data_Christoforou_126"	"data_Christoforou_127N"	"data_Christoforou_127C"	"data_Christoforou_128N"	"data_Christoforou_128C"	"data_Christoforou_129N"	"data_Christoforou_129C"	"data_Christoforou_130N"	"data_Christoforou_131"	"data_Christoforou_130C"	"data_non_NUM_space.1"	"data_Rodriguez_Pineiro_1"	"data_Rodriguez_Pineiro_2"	"data_Rodriguez_Pineiro_3"	"data_Rodriguez_Pineiro_4"	"data_Rodriguez_Pineiro_5"	"data_Rodriguez_Pineiro_6"	"data_Rodriguez_Pineiro_7"	"data_Rodriguez_Pineiro_8"	"data_Rodriguez_Pineiro_9"	"data_Rodriguez_Pineiro_10"	"data_Rodriguez_Pineiro_11"	"data_X"	"data_Cyt.Andreyev"	"data_Nucl.Andreyev"	"data_Microsomes.Andreyev"	"data_PM.Andreyev"	"data_ER.Andreyev"	"data_Mito.Andreyev"	"data_X.1"	"data_Cyt.Carvalho"	"data_Nucl.Carvalho"	"data_Mit.Carvalho"	"data_X.2"	"data_Cyt.Boisvert"	"data_Nucl.Boisvert"	"data_Nucleolus.Boisvert"	"data_X.3"	"data_Cyt.Pinto"	"data_Nucl.Pinto"	"data_Tot.Pinto"	"data_X.4"	"data_Cyt.Choi"	"data_Nucl.Choi"	"data_Pellet.Choi"	"data_Nucl.soluble.Choi"	"data_X.5"	"data_Cyt.Mulvey"	"data_Nucl.Mulvey"	"data_Total.Mulvey"	"data_X.6"	"data_cyt.Bileck"	"data_Nucl.Bileck"	"data_X.7"	"data_Cyt.Thakar"	"data_Nucl.Thakar"	"data_TOT.Thakar"	"data_X.8"	"data_Cyt.Larance"	"data_Nucleus.Larance"	"data_Cytoskeleton.Larance"	"data_Membrane.Larance"
"AKR1A1"	"CYTOSOL"	"CYTOSOL"	""	"Nucleus;Cytoplasm"	NA	"Uncertain"	"apical plasma membrane; cytosol; extracellular space; extracellular vesicular exosome"	NA	"overlaps 9"	163	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.5	"AKR1A1"	"-"	102	24	28	10	14	6	1	4	6	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	136	28	32	1	1	4	NA	73	27	1	NA	93	6	1	NA	46	2	52	NA	100	1	1	1	NA	46	9	46	NA	100	1	NA	87	1	13	NA	89	1	1	11
"ATG3"	"CYTOSOL"	"CYTOSOL"	""	"Plasma membrane;Cytoplasm"	NA	"Supportive"	"cytoplasmic ubiquitin ligase complex; cytosol"	" Cytoplasm "	"overlaps 9"	163	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.5	"ATG3"	"-"	96	34	24	10	16	8	1	4	4	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	146	32	24	1	1	1	NA	99	1	1	NA	88	10	1	NA	72	7	21	NA	100	1	1	1	NA	49	1	51	NA	100	1	NA	87	1	13	NA	100	1	1	1
"CNDP2"	"CYTOSOL"	"CYTOSOL"	""	"Nucleus but not nucleoli;Cytoplasm"	NA	"Supportive"	"cytosol; extracellular vesicular exosome"	" Cytoplasm "	"overlaps 9"	163	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.5	"CNDP2"	"-"	96	32	28	12	14	8	4	1	1	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	144	40	14	1	1	1	NA	77	22	1	NA	96	3	1	NA	55	14	31	NA	100	1	1	1	NA	45	1	54	NA	98	2	NA	74	1	26	NA	89	1	1	11
"FABP5"	"CYTOSOL"	"CYTOSOL"	""	"Plasma membrane;Cytoplasm"	NA	"Supportive"	"cytoplasm; extracellular vesicular exosome"	" Cytoplasm"	"overlaps 10"	163	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.5	"FABP5"	"-"	108	22	18	10	12	12	4	4	6	4	"-"	36	16	10	4	124	1	1	4	1	1	8	NA	164	12	4	1	14	6	NA	89	11	1	NA	88	10	1	NA	90	5	6	NA	100	1	1	1	NA	55	17	29	NA	98	2	NA	98	1	2	NA	86	1	1	14
"HSPH1"	"CYTOSOL"	"CYTOSOL"	""	"Nucleus but not nucleoli;Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; endocytic vesicle lumen; extracellular region; extracellular vesicular exosome; microtubule; nucleus"	" Cytoplasm "	"overlaps 9"	163	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.5	"HSPH1"	"-"	106	26	24	10	12	8	4	4	4	4	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	134	22	38	4	1	1	NA	62	38	1	NA	79	20	1	NA	50	5	45	NA	100	1	1	1	NA	37	20	43	NA	99	1	NA	78	1	21	NA	86	1	1	14
"MTAP"	"CYTOSOL"	"CYTOSOL"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; nucleus"	" Cytoplasm Nucleus {ECO:0000255|HAMAP-Rule:MF_03155}"	"overlaps 7"	163	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.5	"MTAP"	"-"	108	28	26	8	12	6	1	4	4	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	152	32	16	1	1	1	NA	1	1	1	NA	90	9	1	NA	1	1	1	NA	100	1	1	1	NA	39	2	59	NA	100	1	NA	82	1	17	NA	92	1	1	8
"PPIA"	"CYTOSOL"	"CYTOSOL"	""	NA	NA	NA	"cytosol; extracellular region; extracellular space; extracellular vesicular exosome; focal adhesion; membrane; nucleus"	" Cytoplasm {ECO:0000269|PubMed:16527992} Secreted {ECO:0000269|PubMed:16527992} Note=Secretion occurs in response to oxidative stress in vascular smooth muscle through a vesicular secretory pathway that involves actin remodeling and myosin II activation and mediates ERK1/2 activation"	"overlaps 9"	163	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.5	"PPIA"	"-"	76	24	22	12	14	10	6	12	12	12	"-"	8	40	26	6	22	40	20	14	1	14	10	NA	150	10	10	18	8	4	NA	70	30	1	NA	80	18	1	NA	1	1	1	NA	91	1	9	1	NA	43	7	50	NA	100	1	NA	79	2	19	NA	77	1	2	20
"PPP2R2A"	"CYTOSOL"	"CYTOSOL"	""	NA	NA	NA	"cytosol; nucleoplasm; protein phosphatase type 2A complex"	NA	"overlaps 9"	163	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.5	"PPP2R2A"	"-"	80	32	24	12	22	8	4	12	4	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	130	14	40	1	10	4	NA	73	26	1	NA	91	8	1	NA	52	13	35	NA	100	1	1	1	NA	53	1	47	NA	97	3	NA	73	1	25	NA	91	1	1	9
"PPP5C"	"CYTOSOL"	"CYTOSOL"	""	"Vesicles"	"Nucleus but not nucleoli;Cytoplasm"	"Supportive"	"cytoplasm; cytosol; intracellular membrane-bounded organelle; membrane; neuronal cell body; neuron projection; nucleus"	" Nucleus Cytoplasm Membrane Note=Predominantly nuclear But also present in the cytoplasm"	"overlaps 9"	163	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.5	"PPP5C"	"-"	98	28	22	12	14	10	4	6	6	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	174	1	26	1	1	1	NA	78	22	1	NA	90	7	3	NA	82	6	12	NA	100	1	1	1	NA	78	1	21	NA	97	3	NA	89	1	11	NA	80	1	1	19
"TBCB"	"CYTOSOL"	"CYTOSOL"	""	"Cytoplasm"	"Nucleus but not nucleoli"	"Supportive"	"cytoplasm; microtubule; microtubule cytoskeleton; nucleus"	" Cytoplasm {ECO:0000269|PubMed:15831477} Cytoplasm cytoskeleton {ECO:0000269|PubMed:15831477} Note=Colocalizes with microtubules In differentiated neurons located in the cytoplasm In differentiating neurons accumulates at the growth cone"	"overlaps 9"	163	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.5	"TBCB"	"-"	94	28	28	12	16	8	4	4	4	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	152	14	34	1	1	1	NA	84	8	8	NA	92	6	1	NA	52	2	46	NA	100	1	1	1	NA	47	10	44	NA	100	1	NA	87	1	13	NA	94	1	1	6
