"Annot_Gene"	"Annot_Christoforou_UniprotGO_overlap3"	"HPA.main.location"	"HPA.Other.loc"	"HPA.Reliability"	"Gene.ontology.cellular.component"	"Uniprot.Subcellular.location"	"overlap"	"clusters"	"assigned_location_Christoforou_UniprotGO_overlap3"	"precision_assigned_location_Christoforou_UniprotGO_overlap3"	"data_Gene"	"data_non_NUM_space"	"data_Christoforou_126"	"data_Christoforou_127N"	"data_Christoforou_127C"	"data_Christoforou_128N"	"data_Christoforou_128C"	"data_Christoforou_129N"	"data_Christoforou_129C"	"data_Christoforou_130N"	"data_Christoforou_131"	"data_Christoforou_130C"	"data_non_NUM_space.1"	"data_Rodriguez_Pineiro_1"	"data_Rodriguez_Pineiro_2"	"data_Rodriguez_Pineiro_3"	"data_Rodriguez_Pineiro_4"	"data_Rodriguez_Pineiro_5"	"data_Rodriguez_Pineiro_6"	"data_Rodriguez_Pineiro_7"	"data_Rodriguez_Pineiro_8"	"data_Rodriguez_Pineiro_9"	"data_Rodriguez_Pineiro_10"	"data_Rodriguez_Pineiro_11"	"data_X"	"data_Cyt.Andreyev"	"data_Nucl.Andreyev"	"data_Microsomes.Andreyev"	"data_PM.Andreyev"	"data_ER.Andreyev"	"data_Mito.Andreyev"	"data_X.1"	"data_Cyt.Carvalho"	"data_Nucl.Carvalho"	"data_Mit.Carvalho"	"data_X.2"	"data_Cyt.Boisvert"	"data_Nucl.Boisvert"	"data_Nucleolus.Boisvert"	"data_X.3"	"data_Cyt.Pinto"	"data_Nucl.Pinto"	"data_Tot.Pinto"	"data_X.4"	"data_Cyt.Choi"	"data_Nucl.Choi"	"data_Pellet.Choi"	"data_Nucl.soluble.Choi"	"data_X.5"	"data_Cyt.Mulvey"	"data_Nucl.Mulvey"	"data_Total.Mulvey"	"data_X.6"	"data_cyt.Bileck"	"data_Nucl.Bileck"	"data_X.7"	"data_Cyt.Thakar"	"data_Nucl.Thakar"	"data_TOT.Thakar"	"data_X.8"	"data_Cyt.Larance"	"data_Nucleus.Larance"	"data_Cytoskeleton.Larance"	"data_Membrane.Larance"
"ACAT2"	"CYTOSOL"	"Cytoplasm"	"Nucleus"	"Supportive"	"cytoplasm; extracellular vesicular exosome; nucleolus; nucleus"	" Cytoplasm"	"overlaps 11"	69	"CYTOSOL"	1	"ACAT2"	"-"	108	24	26	12	14	6	1	4	1	1	"-"	118	74	1	1	1	1	1	1	1	1	1	NA	156	26	18	1	1	1	NA	73	27	1	NA	88	8	5	NA	90	4	6	NA	100	1	1	1	NA	62	4	34	NA	100	1	NA	91	1	9	NA	93	1	1	6
"ADSS"	"CYTOSOL"	"Cytoplasm"	"Plasma membrane"	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; plasma membrane"	" Cytoplasm Note=Partially associated with particulate fractions"	"overlaps 10"	69	"CYTOSOL"	1	"ADSS"	"-"	108	24	24	12	16	8	1	1	1	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	116	76	8	1	1	1	NA	71	29	1	NA	86	13	1	NA	30	6	64	NA	100	1	1	1	NA	35	4	61	NA	100	1	NA	82	1	18	NA	99	1	1	1
"CKB"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytosol; extracellular vesicular exosome; mitochondrion"	" Cytoplasm"	"overlaps 7"	69	"CYTOSOL"	1	"CKB"	"-"	108	24	26	12	16	6	1	1	1	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	142	36	6	4	1	12	NA	1	1	1	NA	89	9	1	NA	98	1	1	NA	1	1	1	1	NA	55	3	42	NA	1	1	NA	81	1	19	NA	96	1	1	4
"GPI"	"CYTOSOL"	"Plasma membrane;Cytoplasm"	"Nucleus but not nucleoli"	"Supportive"	"cytoplasm; cytosol; extracellular space; extracellular vesicular exosome; membrane; neuron projection; nucleus; plasma membrane"	" Cytoplasm "	"overlaps 11"	69	"CYTOSOL"	1	"GPI"	"-"	108	26	26	12	12	8	1	1	1	1	"-"	82	80	22	1	1	4	4	1	1	1	1	NA	172	16	6	1	4	1	NA	66	33	1	NA	89	9	1	NA	62	9	29	NA	100	1	1	1	NA	56	7	37	NA	100	1	NA	91	1	9	NA	89	1	1	10
"HINT1"	"CYTOSOL"	"Cytoplasm"	"Nucleus;Plasma membrane"	"Supportive"	"cytoplasm; cytoskeleton; extracellular vesicular exosome; histone deacetylase complex; nucleus; plasma membrane"	" Cytoplasm Nucleus Note=Interaction with CDK7 leads to a more nuclear localization"	"overlaps 11"	69	"CYTOSOL"	1	"HINT1"	"-"	110	26	26	12	12	8	1	1	1	1	"-"	200	1	1	1	1	1	1	1	1	1	1	NA	118	40	12	14	1	16	NA	100	1	1	NA	91	8	1	NA	1	1	100	NA	100	1	1	1	NA	72	6	22	NA	99	1	NA	75	1	25	NA	88	1	1	12
"HSP90AB1"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"apical plasma membrane; basolateral plasma membrane; brush border membrane; cell surface; cytoplasm; cytosol; extracellular vesicular exosome; inclusion body; membrane; mitochondrion"	" Cytoplasm Melanosome Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV"	"overlaps 11"	69	"CYTOSOL"	1	"HSP90AB1"	"-"	108	26	24	10	12	8	1	4	1	1	"-"	72	56	22	6	8	10	8	6	6	1	6	NA	130	28	8	24	4	6	NA	64	36	1	NA	79	19	1	NA	24	1	75	NA	61	9	21	8	NA	61	22	18	NA	96	4	NA	81	1	19	NA	79	1	4	16
"LDHA"	"CYTOSOL"	"Cytoplasm"	"Plasma membrane;Vesicles"	"Supportive"	"cytosol; extracellular vesicular exosome; membrane; mitochondrion; nucleus; sperm fibrous sheath"	" Cytoplasm"	"overlaps 11"	69	"CYTOSOL"	1	"LDHA"	"-"	108	24	24	12	16	8	4	4	1	1	"-"	62	46	20	4	6	12	8	10	16	8	10	NA	172	12	6	6	1	1	NA	66	34	1	NA	88	11	1	NA	14	3	83	NA	100	1	1	1	NA	47	10	43	NA	99	1	NA	76	1	23	NA	77	1	2	21
"NUDCD2"	"CYTOSOL"	"Cytoskeleton (Microtubules)"	"Cytoplasm"	"Supportive"	"cytoplasm; extracellular vesicular exosome; intracellular; kinetochore; microtubule cytoskeleton"	" Chromosome centromere kinetochore {ECO:0000269|PubMed:20133715} Cytoplasm cytoskeleton microtubule organizing center centrosome {ECO:0000269|PubMed:20133715} Cytoplasm cytoskeleton spindle pole {ECO:0000269|PubMed:20133715} Note=Associates with centrosomes in interphase and to spindle poles and kinetochores during mitosis"	"overlaps 8"	69	"CYTOSOL"	1	"NUDCD2"	"-"	110	22	26	12	12	6	1	4	4	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	136	64	1	1	1	1	NA	1	1	1	NA	78	5	17	NA	1	2	98	NA	1	1	1	1	NA	100	1	1	NA	100	1	NA	86	1	14	NA	92	1	1	8
"PGAM1"	"CYTOSOL"	NA	NA	NA	"cytoplasm; cytosol; extracellular vesicular exosome; membrane"	NA	"overlaps 10"	69	"CYTOSOL"	1	"PGAM1"	"-"	106	26	28	10	12	8	1	1	1	1	"-"	56	130	1	1	1	1	1	10	1	1	4	NA	168	16	8	1	4	1	NA	72	27	1	NA	92	6	1	NA	93	4	3	NA	100	1	1	1	NA	1	1	1	NA	98	2	NA	87	1	13	NA	90	1	1	10
"PGK1"	"CYTOSOL"	NA	NA	NA	"cytosol; extracellular vesicular exosome; membrane"	" Cytoplasm"	"overlaps 11"	69	"CYTOSOL"	1	"PGK1"	"-"	110	22	24	10	14	8	1	4	1	1	"-"	54	92	22	4	1	1	4	10	1	1	4	NA	168	14	8	4	6	1	NA	61	38	1	NA	85	14	1	NA	34	14	52	NA	74	1	26	1	NA	45	8	47	NA	98	2	NA	73	1	27	NA	86	1	1	12
