"Annot_Gene"	"Annot_Christoforou_UniprotGO_overlap3"	"HPA.main.location"	"HPA.Other.loc"	"HPA.Reliability"	"Gene.ontology.cellular.component"	"Uniprot.Subcellular.location"	"overlap"	"clusters"	"assigned_location_Christoforou_UniprotGO_overlap3"	"precision_assigned_location_Christoforou_UniprotGO_overlap3"	"data_Gene"	"data_non_NUM_space"	"data_Christoforou_126"	"data_Christoforou_127N"	"data_Christoforou_127C"	"data_Christoforou_128N"	"data_Christoforou_128C"	"data_Christoforou_129N"	"data_Christoforou_129C"	"data_Christoforou_130N"	"data_Christoforou_131"	"data_Christoforou_130C"	"data_non_NUM_space.1"	"data_Bileck.cyt"	"data_Bileck.Nucl"	"data_non_NUM_space.x"	"data_Cyt.Thakar"	"data_Nucl.Thakar"	"data_TOT.Thakar"	"data_non_NUM_space.y"	"data_Cyt.Carvalho"	"data_Nucl.Carvalho"	"data_Mit.Carvalho"
"BLVRB"	"CYTOSOL"	"Plasma membrane;Cytoplasm"	"Nucleus but not nucleoli"	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; nucleus; plasma membrane"	" Cytoplasm "	"overlaps 3"	350	"CYTOSOL"	1	"BLVRB"	"-"	106	22	20	10	16	6	1	10	1	4	"-"	99	1	"-"	74	1	25	"-"	94	5	1
"CCDC6"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytoskeleton"	" Cytoplasm Cytoplasm cytoskeleton {ECO:0000305} Note=May be a cytoskeletal protein"	"overlaps 3"	350	"CYTOSOL"	1	"CCDC6"	"-"	94	30	28	8	10	8	6	6	6	4	"-"	100	1	"-"	72	1	28	"-"	98	1	2
"CRK"	""	"Plasma membrane"	NA	"Uncertain"	"cytoplasm; cytosol; extracellular vesicular exosome; nucleus; plasma membrane"	" Cytoplasm {ECO:0000250} Cell membrane {ECO:0000250} Note=Translocated to the plasma membrane upon cell adhesion {ECO:0000250}"	"overlaps 3"	350	"CYTOSOL"	1	"CRK"	"-"	60	40	34	16	24	4	1	8	8	8	"-"	100	1	"-"	78	1	22	"-"	100	1	1
"CRKL"	"CYTOSOL"	"Nucleus but not nucleoli"	"Cytoplasm"	"Supportive"	"cytosol; endosome; extracellular vesicular exosome"	NA	"overlaps 3"	350	"CYTOSOL"	1	"CRKL"	"-"	66	50	26	12	16	8	1	8	10	1	"-"	98	2	"-"	74	1	26	"-"	100	1	1
"GCLM"	"CYTOSOL"	"Nucleus;Plasma membrane;Cytoplasm"	NA	"Supportive"	"cytosol; glutamate-cysteine ligase complex"	NA	"overlaps 3"	350	"CYTOSOL"	1	"GCLM"	"-"	110	22	22	10	12	6	1	6	6	1	"-"	100	1	"-"	75	1	25	"-"	100	1	1
"GMPPB"	"CYTOSOL"	"Nucleus"	NA	"Supportive"	"cytoplasm; extracellular vesicular exosome; mitochondrion"	" Cytoplasm "	"overlaps 3"	350	"CYTOSOL"	1	"GMPPB"	"-"	72	44	30	10	18	8	1	4	6	8	"-"	100	1	"-"	72	1	28	"-"	99	1	1
"HINT1"	"CYTOSOL"	"Cytoplasm"	"Nucleus;Plasma membrane"	"Supportive"	"cytoplasm; cytoskeleton; extracellular vesicular exosome; histone deacetylase complex; nucleus; plasma membrane"	" Cytoplasm Nucleus Note=Interaction with CDK7 leads to a more nuclear localization"	"overlaps 3"	350	"CYTOSOL"	1	"HINT1"	"-"	110	26	26	12	12	8	1	1	1	1	"-"	99	1	"-"	75	1	25	"-"	100	1	1
"IGBP1"	"CYTOSOL"	"Cytoplasm;Cytoskeleton (Microtubules)"	NA	"Uncertain"	"cytoplasm; microtubule"	" Cytoplasm "	"overlaps 3"	350	"CYTOSOL"	1	"IGBP1"	"-"	84	24	22	10	18	10	6	6	14	6	"-"	100	1	"-"	78	1	22	"-"	100	1	1
"NUBP1"	"CYTOSOL"	"Cytoplasm"	"Plasma membrane"	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; plasma membrane"	" Cytoplasm "	"overlaps 3"	350	"CYTOSOL"	1	"NUBP1"	"-"	78	40	30	10	6	10	4	10	8	6	"-"	100	1	"-"	72	1	28	"-"	98	2	1
"PDCD5"	"CYTOSOL"	"Cytoplasm"	"Nucleus"	"Supportive"	"cytoplasm; extracellular vesicular exosome; nucleus"	NA	"overlaps 3"	350	"CYTOSOL"	1	"PDCD5"	"-"	116	24	24	8	14	8	4	1	1	1	"-"	97	3	"-"	77	1	23	"-"	100	1	1
"PFDN1"	"CYTOSOL"	"Plasma membrane;Cytoplasm"	"Nucleoli"	"Uncertain"	"prefoldin complex"	NA	"overlaps 3"	350	"CYTOSOL"	1	"PFDN1"	"-"	110	30	22	10	8	8	4	1	1	1	"-"	97	3	"-"	78	1	22	"-"	100	1	1
"POLD3"	""	"Nucleus"	"Mitochondria"	"Supportive"	"delta DNA polymerase complex; mitochondrion; nucleoplasm; nucleus"	" Nucleus"	"overlaps 3"	350	"CYTOSOL"	1	"POLD3"	"-"	50	4	4	1	1	4	16	56	46	16	"-"	100	1	"-"	76	1	24	"-"	100	1	1
"RPE"	"CYTOSOL"	NA	NA	NA	"cytosol; extracellular vesicular exosome"	NA	"overlaps 3"	350	"CYTOSOL"	1	"RPE"	"-"	102	34	28	12	10	6	4	1	1	1	"-"	100	1	"-"	72	1	28	"-"	100	1	1
"TRMT1"	""	NA	NA	NA	NA	NA	"overlaps 3"	350	"CYTOSOL"	1	"TRMT1"	"-"	124	12	16	1	4	4	6	16	14	4	"-"	100	1	"-"	75	1	25	"-"	94	3	3
"TXNDC17"	"CYTOSOL"	NA	NA	NA	"cytosol; extracellular vesicular exosome"	" Cytoplasm "	"overlaps 3"	350	"CYTOSOL"	1	"TXNDC17"	"-"	116	18	24	10	18	4	1	4	1	1	"-"	100	1	"-"	77	1	23	"-"	97	3	1
"UBE2L3"	"CYTOSOL"	"Nucleus"	"Cytoplasm"	"Uncertain"	"cytoplasm; extracellular vesicular exosome; nucleus; ubiquitin ligase complex"	" Nucleus Cytoplasm"	"overlaps 3"	350	"CYTOSOL"	1	"UBE2L3"	"-"	100	24	20	12	14	12	6	6	6	4	"-"	99	1	"-"	75	1	25	"-"	99	1	1
"VBP1"	"CYTOSOL"	"Cytoplasm"	"Vesicles"	"Supportive"	"cytoplasm; intracellular membrane-bounded organelle; nucleus; prefoldin complex"	" Cytoplasm Nucleus Note=In complex with VHL can translocate to the nucleus"	"overlaps 3"	350	"CYTOSOL"	1	"VBP1"	"-"	108	24	24	10	14	8	4	1	4	1	"-"	96	4	"-"	77	1	23	"-"	96	1	4
"VPS26A"	""	"Vesicles"	NA	"Supportive"	"cytosol; endosome; extracellular vesicular exosome; intracellular membrane-bounded organelle; membrane; vesicle"	" Cytoplasm Endosome membrane; Peripheral membrane protein"	"overlaps 3"	350	"CYTOSOL"	1	"VPS26A"	"-"	34	18	24	20	62	22	6	6	6	1	"-"	96	4	"-"	76	1	23	"-"	98	2	1
"CASP3"	"CYTOSOL"	"Nucleus but not nucleoli;Mitochondria"	NA	"Supportive"	"cytosol; nucleoplasm; nucleus; plasma membrane"	" Cytoplasm"	"overlaps 3"	426	"CYTOSOL"	1	"CASP3"	"-"	118	20	22	10	14	6	1	4	1	1	"-"	100	1	"-"	84	1	16	"-"	100	1	1
"CPNE1"	"CYTOSOL"	"Nuclear membrane"	"Nucleus but not nucleoli"	"Uncertain"	"extracellular vesicular exosome"	NA	"overlaps 3"	426	"CYTOSOL"	1	"CPNE1"	"-"	80	32	30	14	18	10	4	4	4	1	"-"	98	2	"-"	81	2	17	"-"	98	2	1
"DDT"	"CYTOSOL"	"Mitochondria"	NA	"Uncertain"	"cytoplasm; extracellular vesicular exosome"	" Cytoplasm "	"overlaps 3"	426	"CYTOSOL"	1	"DDT"	"-"	148	12	22	8	8	1	1	1	1	1	"-"	100	1	"-"	80	2	18	"-"	100	1	1
"FAM96B"	"CYTOSOL"	"Nucleus but not nucleoli;Cytoplasm"	NA	"Supportive"	"CIA complex; cytoplasm; MMXD complex; nucleus; spindle"	" Nucleus {ECO:0000269|PubMed:20797633} Cytoplasm cytoskeleton spindle {ECO:0000269|PubMed:20797633}"	"overlaps 3"	426	"CYTOSOL"	1	"FAM96B"	"-"	92	24	28	10	24	8	1	6	6	1	"-"	100	1	"-"	80	1	20	"-"	100	1	1
"HMBS"	""	"Vesicles"	NA	"Uncertain"	"cytosol"	" Cytoplasm "	"overlaps 3"	426	"CYTOSOL"	1	"HMBS"	"-"	130	12	20	6	10	6	4	6	4	4	"-"	100	1	"-"	80	1	20	"-"	100	1	1
"IPO11"	""	"Nucleus;Nucleoli"	NA	"Supportive"	"cytoplasm; nucleus"	" Cytoplasm {ECO:0000269|PubMed:11032817} Nucleus {ECO:0000269|PubMed:11032817}"	"overlaps 3"	426	"CYTOSOL"	1	"IPO11"	"-"	114	20	24	4	10	6	6	8	4	4	"-"	100	1	"-"	82	1	18	"-"	100	1	1
"NUDCD3"	"CYTOSOL"	"Plasma membrane;Cytoplasm"	"Nucleus"	"Uncertain"	NA	NA	"overlaps 3"	426	"CYTOSOL"	1	"NUDCD3"	"-"	86	32	26	10	20	8	1	8	6	1	"-"	100	1	"-"	82	1	18	"-"	100	1	1
"PGP"	"CYTOSOL"	"Nucleus"	NA	"Uncertain"	NA	NA	"overlaps 3"	426	"CYTOSOL"	1	"PGP"	"-"	108	30	26	12	12	6	4	1	1	1	"-"	100	1	"-"	79	1	21	"-"	99	1	1
"PPP4R1"	"CYTOSOL"	"Nucleus but not nucleoli"	NA	"Uncertain"	"protein phosphatase 4 complex"	NA	"overlaps 3"	426	"CYTOSOL"	1	"PPP4R1"	"-"	112	36	26	10	12	6	1	1	1	1	"-"	100	1	"-"	82	1	18	"-"	100	1	1
"PRPSAP1"	"CYTOSOL"	"Cytoplasm"	NA	"Uncertain"	"ribose phosphate diphosphokinase complex"	NA	"overlaps 3"	426	"CYTOSOL"	1	"PRPSAP1"	"-"	96	34	24	10	10	8	1	6	10	1	"-"	100	1	"-"	83	1	17	"-"	99	1	1
"SH3BGRL"	"CYTOSOL"	"Vesicles"	NA	"Uncertain"	"cytoplasm; extracellular space; extracellular vesicular exosome; nucleus"	NA	"overlaps 3"	426	"CYTOSOL"	1	"SH3BGRL"	"-"	90	38	34	14	10	8	1	1	1	1	"-"	96	4	"-"	82	1	18	"-"	100	1	1
"SLK"	"CYTOSOL"	"Plasma membrane;Cytoplasm"	NA	"Uncertain"	"cytoplasm; extracellular vesicular exosome"	" Cytoplasm "	"overlaps 3"	426	"CYTOSOL"	1	"SLK"	"-"	20	54	50	20	20	14	4	10	8	1	"-"	100	1	"-"	82	1	18	"-"	100	1	1
